StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
百勝,C2H9G0,2025-03-26T23:00:00+08:00,多雲,-99,-99.0,230.0,0.3,20.8,91,-99.0,-99.0
百勝,C2H9G0,2025-03-27T00:00:00+08:00,多雲,-99,-99.0,0.0,0.2,19.9,85,-99.0,-99.0
百勝,C2H9G0,2025-03-27T01:00:00+08:00,晴,-99,-99.0,0.0,0.2,19.5,78,-99.0,-99.0
百勝,C2H9G0,2025-03-27T02:00:00+08:00,晴,-99,-99.0,0.0,0.1,19.1,78,-99.0,-99.0
百勝,C2H9G0,2025-03-27T03:00:00+08:00,晴,-99,-99.0,0.0,0.2,19.0,71,-99.0,-99.0
百勝,C2H9G0,2025-03-27T04:00:00+08:00,晴,-99,-99.0,190.0,0.4,18.4,78,-99.0,-99.0
百勝,C2H9G0,2025-03-27T05:00:00+08:00,晴,-99,-99.0,180.0,0.4,17.8,82,-99.0,-99.0
百勝,C2H9G0,2025-03-27T06:00:00+08:00,晴,-99,-99.0,150.0,0.3,17.4,81,-99.0,-99.0
百勝,C2H9G0,2025-03-27T07:00:00+08:00,晴,-99,-99.0,0.0,0.1,17.0,86,-99.0,-99.0
百勝,C2H9G0,2025-03-27T08:00:00+08:00,晴,-99,-99.0,350.0,0.3,20.0,75,-99.0,-99.0
百勝,C2H9G0,2025-03-27T09:00:00+08:00,晴,-99,-99.0,340.0,0.6,22.9,61,-99.0,-99.0
百勝,C2H9G0,2025-03-27T10:00:00+08:00,晴,-99,-99.0,350.0,0.6,27.4,46,-99.0,-99.0
百勝,C2H9G0,2025-03-27T11:00:00+08:00,晴,-99,-99.0,320.0,1.2,30.6,41,-99.0,-99.0
百勝,C2H9G0,2025-03-27T12:00:00+08:00,晴,-99,-99.0,310.0,2.2,31.3,43,-99.0,-99.0
百勝,C2H9G0,2025-03-27T13:00:00+08:00,晴,-99,-99.0,310.0,2.1,31.1,49,-99.0,-99.0
百勝,C2H9G0,2025-03-27T14:00:00+08:00,晴,-99,-99.0,310.0,2.2,31.6,48,-99.0,-99.0
百勝,C2H9G0,2025-03-27T15:00:00+08:00,多雲,-99,-99.0,290.0,1.7,31.0,54,-99.0,-99.0
百勝,C2H9G0,2025-03-27T16:00:00+08:00,多雲,-99,-99.0,280.0,1.8,28.6,64,-99.0,-99.0
百勝,C2H9G0,2025-03-27T17:00:00+08:00,多雲,-99,-99.0,270.0,0.8,26.6,73,-99.0,-99.0
百勝,C2H9G0,2025-03-27T18:00:00+08:00,多雲,-99,-99.0,50.0,0.5,24.6,80,-99.0,-99.0
百勝,C2H9G0,2025-03-27T19:00:00+08:00,多雲,-99,-99.0,230.0,0.3,23.3,80,-99.0,-99.0
百勝,C2H9G0,2025-03-27T20:00:00+08:00,晴,-99,-99.0,0.0,0.2,22.2,86,-99.0,-99.0
百勝,C2H9G0,2025-03-27T21:00:00+08:00,多雲,-99,-99.0,360.0,0.5,22.2,84,-99.0,-99.0
百勝,C2H9G0,2025-03-27T22:00:00+08:00,陰,-99,-99.0,0.0,0.2,22.0,85,-99.0,-99.0
百勝,C2H9G0,2025-03-27T23:00:00+08:00,多雲,-99,-99.0,0.0,0.2,21.4,89,-99.0,-99.0
百勝,C2H9G0,2025-03-28T00:00:00+08:00,陰,-99,-99.0,0.0,0.1,21.0,91,-99.0,-99.0
百勝,C2H9G0,2025-03-28T01:00:00+08:00,陰,-99,-99.0,0.0,0.2,21.0,91,-99.0,-99.0
百勝,C2H9G0,2025-03-28T02:00:00+08:00,陰,-99,-99.0,0.0,0.2,20.6,93,-99.0,-99.0
百勝,C2H9G0,2025-03-28T03:00:00+08:00,陰,-99,-99.0,170.0,0.3,20.0,93,-99.0,-99.0
百勝,C2H9G0,2025-03-28T04:00:00+08:00,陰,-99,-99.0,0.0,0.2,19.6,92,-99.0,-99.0
百勝,C2H9G0,2025-03-28T05:00:00+08:00,陰,-99,-99.0,170.0,0.5,19.0,92,-99.0,-99.0
百勝,C2H9G0,2025-03-28T06:00:00+08:00,多雲,-99,-99.0,180.0,0.4,18.7,89,-99.0,-99.0
百勝,C2H9G0,2025-03-28T07:00:00+08:00,陰,-99,-99.0,0.0,0.2,19.3,89,-99.0,-99.0
百勝,C2H9G0,2025-03-28T08:00:00+08:00,多雲,-99,-99.0,300.0,0.5,21.5,77,-99.0,-99.0
百勝,C2H9G0,2025-03-28T09:00:00+08:00,陰,-99,-99.0,270.0,0.6,23.4,74,-99.0,-99.0
百勝,C2H9G0,2025-03-28T10:00:00+08:00,多雲,-99,-99.0,290.0,1.3,25.9,67,-99.0,-99.0
百勝,C2H9G0,2025-03-28T11:00:00+08:00,晴,-99,-99.0,280.0,1.6,28.0,62,-99.0,-99.0
百勝,C2H9G0,2025-03-28T12:00:00+08:00,陰,-99,-99.0,290.0,2.0,26.1,68,-99.0,-99.0
百勝,C2H9G0,2025-03-28T13:00:00+08:00,多雲,-99,-99.0,270.0,1.6,27.8,62,-99.0,-99.0
百勝,C2H9G0,2025-03-28T14:00:00+08:00,晴,-99,-99.0,260.0,1.8,28.0,58,-99.0,-99.0
百勝,C2H9G0,2025-03-28T15:00:00+08:00,晴,-99,-99.0,290.0,2.2,26.3,62,-99.0,-99.0
百勝,C2H9G0,2025-03-28T16:00:00+08:00,晴,-99,-99.0,310.0,1.7,25.3,65,-99.0,-99.0
百勝,C2H9G0,2025-03-28T17:00:00+08:00,多雲,-99,-99.0,300.0,1.7,23.8,70,-99.0,-99.0
百勝,C2H9G0,2025-03-28T18:00:00+08:00,多雲,-99,-99.0,310.0,0.5,21.9,74,-99.0,-99.0
百勝,C2H9G0,2025-03-28T19:00:00+08:00,陰,-99,-99.0,0.0,0.2,21.2,78,-99.0,-99.0
百勝,C2H9G0,2025-03-28T20:00:00+08:00,陰,-99,-99.0,0.0,0.2,20.3,80,-99.0,-99.0
百勝,C2H9G0,2025-03-28T21:00:00+08:00,陰,-99,-99.0,0.0,0.2,19.7,81,-99.0,-99.0
百勝,C2H9G0,2025-03-28T22:00:00+08:00,多雲,-99,-99.0,160.0,0.3,19.2,87,-99.0,-99.0
百勝,C2H9G0,2025-03-28T23:00:00+08:00,多雲,-99,-99.0,0.0,0.1,19.1,88,-99.0,-99.0
百勝,C2H9G0,2025-03-29T00:00:00+08:00,多雲,-99,-99.0,30.0,0.4,17.9,87,-99.0,-99.0
百勝,C2H9G0,2025-03-29T01:00:00+08:00,陰,-99,-99.0,10.0,0.4,17.0,88,-99.0,-99.0
百勝,C2H9G0,2025-03-29T02:00:00+08:00,陰,-99,-99.0,0.0,0.1,16.9,90,-99.0,-99.0
百勝,C2H9G0,2025-03-29T03:00:00+08:00,陰,-99,-99.0,0.0,0.1,16.6,92,-99.0,-99.0
百勝,C2H9G0,2025-03-29T04:00:00+08:00,陰,-99,-99.0,10.0,0.3,16.4,93,-99.0,-99.0
百勝,C2H9G0,2025-03-29T05:00:00+08:00,陰,-99,-99.0,0.0,0.1,16.4,93,-99.0,-99.0
百勝,C2H9G0,2025-03-29T06:00:00+08:00,陰,-99,-99.0,0.0,0.2,16.1,93,-99.0,-99.0
百勝,C2H9G0,2025-03-29T07:00:00+08:00,陰,-99,-99.0,350.0,0.6,16.7,89,-99.0,-99.0
百勝,C2H9G0,2025-03-29T08:00:00+08:00,陰,-99,-99.0,340.0,0.9,17.7,81,-99.0,-99.0
百勝,C2H9G0,2025-03-29T09:00:00+08:00,陰,-99,-99.0,320.0,0.6,19.2,78,-99.0,-99.0
百勝,C2H9G0,2025-03-29T10:00:00+08:00,多雲,-99,-99.0,310.0,1.6,21.0,74,-99.0,-99.0
百勝,C2H9G0,2025-03-29T11:00:00+08:00,陰,-99,-99.0,310.0,2.4,21.6,74,-99.0,-99.0
百勝,C2H9G0,2025-03-29T12:00:00+08:00,陰,-99,-99.0,310.0,1.3,20.1,75,-99.0,-99.0
百勝,C2H9G0,2025-03-29T13:00:00+08:00,陰,-99,-99.0,350.0,1.1,23.4,66,-99.0,-99.0
百勝,C2H9G0,2025-03-29T14:00:00+08:00,陰,-99,-99.0,300.0,1.0,21.2,72,-99.0,-99.0
百勝,C2H9G0,2025-03-29T15:00:00+08:00,陰,-99,-99.0,340.0,0.9,20.6,71,-99.0,-99.0
百勝,C2H9G0,2025-03-29T16:00:00+08:00,陰,-99,-99.0,330.0,1.0,20.8,70,-99.0,-99.0
百勝,C2H9G0,2025-03-29T17:00:00+08:00,陰,-99,-99.0,280.0,1.2,19.5,74,-99.0,-99.0
百勝,C2H9G0,2025-03-29T18:00:00+08:00,陰,-99,-99.0,350.0,0.6,17.9,77,-99.0,-99.0
百勝,C2H9G0,2025-03-29T19:00:00+08:00,陰,-99,-99.0,360.0,0.4,16.6,82,-99.0,-99.0
百勝,C2H9G0,2025-03-29T20:00:00+08:00,多雲,-99,-99.0,0.0,0.1,15.4,89,-99.0,-99.0
百勝,C2H9G0,2025-03-29T21:00:00+08:00,多雲,-99,-99.0,10.0,0.4,14.7,89,-99.0,-99.0
百勝,C2H9G0,2025-03-29T22:00:00+08:00,陰,-99,-99.0,40.0,0.3,14.8,89,-99.0,-99.0
百勝,C2H9G0,2025-03-29T23:00:00+08:00,陰,-99,-99.0,310.0,0.3,14.4,89,-99.0,-99.0
百勝,C2H9G0,2025-03-30T00:00:00+08:00,陰,-99,-99.0,0.0,0.1,14.3,90,-99.0,-99.0
百勝,C2H9G0,2025-03-30T01:00:00+08:00,陰,-99,-99.0,0.0,0.1,14.1,93,-99.0,-99.0
百勝,C2H9G0,2025-03-30T02:00:00+08:00,陰,-99,-99.0,350.0,0.5,13.7,95,-99.0,-99.0
百勝,C2H9G0,2025-03-30T03:00:00+08:00,陰,-99,-99.0,340.0,0.4,12.8,98,-99.0,-99.0
百勝,C2H9G0,2025-03-30T04:00:00+08:00,陰,-99,-99.0,0.0,0.2,12.8,99,-99.0,-99.0
百勝,C2H9G0,2025-03-30T05:00:00+08:00,陰,-99,-99.0,320.0,0.3,13.0,99,-99.0,-99.0
百勝,C2H9G0,2025-03-30T06:00:00+08:00,陰,-99,-99.0,20.0,0.3,13.3,99,-99.0,-99.0
百勝,C2H9G0,2025-03-30T07:00:00+08:00,陰有雨,-99,-99.0,310.0,0.5,13.6,99,-99.0,-99.0
百勝,C2H9G0,2025-03-30T08:00:00+08:00,陰,-99,-99.0,0.0,0.2,14.1,100,-99.0,-99.0
百勝,C2H9G0,2025-03-30T09:00:00+08:00,陰有雨,-99,-99.0,270.0,0.4,14.5,99,-99.0,-99.0
