StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
屯原,C2H9K0,2026-03-01T23:00:00+08:00,晴,-99,-99,220.0,7.3,12.8,100,-99,-99
屯原,C2H9K0,2026-03-02T00:00:00+08:00,晴,-99,-99,220.0,7.0,12.5,100,-99,-99
屯原,C2H9K0,2026-03-02T01:00:00+08:00,晴,-99,-99,220.0,6.5,12.2,100,-99,-99
屯原,C2H9K0,2026-03-02T02:00:00+08:00,晴,-99,-99,220.0,6.7,12.3,100,-99,-99
屯原,C2H9K0,2026-03-02T03:00:00+08:00,晴,-99,-99,220.0,6.0,12.2,100,-99,-99
屯原,C2H9K0,2026-03-02T04:00:00+08:00,晴,-99,-99,210.0,2.9,12.2,100,-99,-99
屯原,C2H9K0,2026-03-02T05:00:00+08:00,晴,-99,-99,210.0,2.0,12.2,100,-99,-99
屯原,C2H9K0,2026-03-02T06:00:00+08:00,晴,-99,-99,240.0,1.3,12.0,100,-99,-99
屯原,C2H9K0,2026-03-02T07:00:00+08:00,晴,-99,-99,140.0,0.6,12.0,100,-99,-99
屯原,C2H9K0,2026-03-02T08:00:00+08:00,多雲,-99,-99,330.0,0.4,12.6,100,-99,-99
屯原,C2H9K0,2026-03-02T09:00:00+08:00,多雲,-99,-99,190.0,1.2,13.8,92,-99,-99
屯原,C2H9K0,2026-03-02T10:00:00+08:00,多雲,-99,-99,210.0,1.7,16.5,77,-99,-99
屯原,C2H9K0,2026-03-02T11:00:00+08:00,陰,-99,-99,210.0,2.1,15.7,83,-99,-99
屯原,C2H9K0,2026-03-02T12:00:00+08:00,陰,-99,-99,210.0,6.8,14.3,85,-99,-99
屯原,C2H9K0,2026-03-02T13:00:00+08:00,陰,-99,-99,210.0,7.0,13.6,94,-99,-99
屯原,C2H9K0,2026-03-02T14:00:00+08:00,陰,-99,-99,200.0,5.2,13.8,91,-99,-99
屯原,C2H9K0,2026-03-02T15:00:00+08:00,陰,-99,-99,210.0,5.0,13.7,93,-99,-99
