StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
卓社,C2H9R0,2026-03-01T23:00:00+08:00,晴,-99,-99,40.0,1.3,16.2,100,-99,-99
卓社,C2H9R0,2026-03-02T00:00:00+08:00,多雲,-99,-99,10.0,2.9,16.5,100,-99,-99
卓社,C2H9R0,2026-03-02T01:00:00+08:00,晴,-99,-99,350.0,2.2,16.4,100,-99,-99
卓社,C2H9R0,2026-03-02T02:00:00+08:00,晴,-99,-99,10.0,1.3,16.3,100,-99,-99
卓社,C2H9R0,2026-03-02T03:00:00+08:00,晴,-99,-99,60.0,1.0,15.7,100,-99,-99
卓社,C2H9R0,2026-03-02T04:00:00+08:00,晴,-99,-99,50.0,0.9,15.8,96,-99,-99
卓社,C2H9R0,2026-03-02T05:00:00+08:00,晴,-99,-99,50.0,1.2,15.8,93,-99,-99
卓社,C2H9R0,2026-03-02T06:00:00+08:00,晴,-99,-99,40.0,1.6,15.6,95,-99,-99
卓社,C2H9R0,2026-03-02T07:00:00+08:00,晴,-99,-99,80.0,0.4,16.7,86,-99,-99
卓社,C2H9R0,2026-03-02T08:00:00+08:00,多雲,-99,-99,60.0,0.6,17.9,83,-99,-99
卓社,C2H9R0,2026-03-02T09:00:00+08:00,多雲,-99,-99,10.0,0.8,19.5,80,-99,-99
卓社,C2H9R0,2026-03-02T10:00:00+08:00,晴,-99,-99,350.0,1.1,20.6,78,-99,-99
卓社,C2H9R0,2026-03-02T11:00:00+08:00,陰,-99,-99,350.0,1.1,21.3,77,-99,-99
卓社,C2H9R0,2026-03-02T12:00:00+08:00,陰,-99,-99,320.0,0.8,20.3,79,-99,-99
卓社,C2H9R0,2026-03-02T13:00:00+08:00,陰,-99,-99,320.0,1.5,21.3,79,-99,-99
卓社,C2H9R0,2026-03-02T14:00:00+08:00,陰,-99,-99,330.0,1.3,20.6,85,-99,-99
卓社,C2H9R0,2026-03-02T15:00:00+08:00,陰,-99,-99,330.0,1.1,20.5,85,-99,-99
