StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
松茗,C2H9Y0,2026-03-01T23:00:00+08:00,晴,-99,-99,160.0,1.7,21.2,91,-99,-99
松茗,C2H9Y0,2026-03-02T00:00:00+08:00,多雲,-99,-99,10.0,0.9,21.3,90,-99,-99
松茗,C2H9Y0,2026-03-02T01:00:00+08:00,多雲,-99,-99,140.0,0.3,20.9,93,-99,-99
松茗,C2H9Y0,2026-03-02T02:00:00+08:00,晴,-99,-99,100.0,0.5,20.5,95,-99,-99
松茗,C2H9Y0,2026-03-02T03:00:00+08:00,晴,-99,-99,40.0,0.6,20.2,97,-99,-99
松茗,C2H9Y0,2026-03-02T04:00:00+08:00,晴,-99,-99,10.0,0.6,20.0,96,-99,-99
松茗,C2H9Y0,2026-03-02T05:00:00+08:00,晴,-99,-99,60.0,0.8,20.2,95,-99,-99
松茗,C2H9Y0,2026-03-02T06:00:00+08:00,晴,-99,-99,50.0,0.9,19.6,97,-99,-99
松茗,C2H9Y0,2026-03-02T07:00:00+08:00,晴,-99,-99,330.0,0.5,20.3,95,-99,-99
松茗,C2H9Y0,2026-03-02T08:00:00+08:00,晴,-99,-99,210.0,0.8,24.6,72,-99,-99
松茗,C2H9Y0,2026-03-02T09:00:00+08:00,晴,-99,-99,250.0,1.7,24.6,72,-99,-99
松茗,C2H9Y0,2026-03-02T10:00:00+08:00,多雲,-99,-99,270.0,1.7,24.4,75,-99,-99
松茗,C2H9Y0,2026-03-02T11:00:00+08:00,多雲,-99,-99,200.0,1.9,25.5,72,-99,-99
松茗,C2H9Y0,2026-03-02T12:00:00+08:00,陰,-99,-99,320.0,2.2,25.8,72,-99,-99
松茗,C2H9Y0,2026-03-02T13:00:00+08:00,陰,-99,-99,240.0,1.3,27.3,66,-99,-99
松茗,C2H9Y0,2026-03-02T14:00:00+08:00,多雲,-99,-99,330.0,1.3,26.4,69,-99,-99
松茗,C2H9Y0,2026-03-02T15:00:00+08:00,多雲,-99,-99,290.0,1.6,26.4,71,-99,-99
