StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
國三N223K,CAH010,2025-03-26T23:00:00+08:00,晴,16-20,-99.0,130.0,3.7,23.3,84,-99.0,-99.0
國三N223K,CAH010,2025-03-27T00:00:00+08:00,晴,16-20,-99.0,120.0,2.6,23.3,84,-99.0,-99.0
國三N223K,CAH010,2025-03-27T01:00:00+08:00,晴,11-15,-99.0,160.0,2.0,23.1,84,-99.0,-99.0
國三N223K,CAH010,2025-03-27T02:00:00+08:00,晴,11-15,-99.0,170.0,2.0,22.5,85,-99.0,-99.0
國三N223K,CAH010,2025-03-27T03:00:00+08:00,晴有靄,7-10,-99.0,130.0,2.2,22.0,87,-99.0,-99.0
國三N223K,CAH010,2025-03-27T04:00:00+08:00,晴有靄,7-10,-99.0,160.0,3.2,21.7,87,-99.0,-99.0
國三N223K,CAH010,2025-03-27T05:00:00+08:00,晴,11-15,-99.0,140.0,2.7,21.0,84,-99.0,-99.0
國三N223K,CAH010,2025-03-27T06:00:00+08:00,晴,21-30,-99.0,170.0,2.2,21.5,80,-99.0,-99.0
國三N223K,CAH010,2025-03-27T07:00:00+08:00,晴,21-30,-99.0,170.0,3.4,22.0,77,-99.0,-99.0
國三N223K,CAH010,2025-03-27T08:00:00+08:00,晴,>30,-99.0,160.0,3.6,23.8,70,-99.0,-99.0
國三N223K,CAH010,2025-03-27T09:00:00+08:00,晴,>30,-99.0,140.0,3.6,27.2,66,-99.0,-99.0
國三N223K,CAH010,2025-03-27T10:00:00+08:00,晴,-99,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0
國三N223K,CAH010,2025-03-27T11:00:00+08:00,晴,>30,-99.0,120.0,1.8,30.0,61,-99.0,-99.0
國三N223K,CAH010,2025-03-27T12:00:00+08:00,晴,>30,-99.0,260.0,3.5,31.2,59,-99.0,-99.0
國三N223K,CAH010,2025-03-27T13:00:00+08:00,晴,>30,-99.0,260.0,6.0,31.3,60,-99.0,-99.0
國三N223K,CAH010,2025-03-27T14:00:00+08:00,晴,>30,-99.0,270.0,6.3,30.7,65,-99.0,-99.0
國三N223K,CAH010,2025-03-27T15:00:00+08:00,晴,>30,-99.0,270.0,7.7,29.5,69,-99.0,-99.0
國三N223K,CAH010,2025-03-27T16:00:00+08:00,晴,>30,-99.0,260.0,2.9,29.7,66,-99.0,-99.0
國三N223K,CAH010,2025-03-27T17:00:00+08:00,多雲,>30,-99.0,230.0,2.0,29.3,60,-99.0,-99.0
國三N223K,CAH010,2025-03-27T18:00:00+08:00,晴,>30,-99.0,190.0,1.7,27.5,66,-99.0,-99.0
國三N223K,CAH010,2025-03-27T19:00:00+08:00,多雲,>30,-99.0,180.0,2.2,26.3,72,-99.0,-99.0
國三N223K,CAH010,2025-03-27T20:00:00+08:00,晴,>30,-99.0,190.0,1.8,25.5,73,-99.0,-99.0
國三N223K,CAH010,2025-03-27T21:00:00+08:00,多雲,-99,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0
國三N223K,CAH010,2025-03-27T22:00:00+08:00,陰,>30,-99.0,170.0,2.0,25.3,74,-99.0,-99.0
國三N223K,CAH010,2025-03-27T23:00:00+08:00,多雲,>30,-99.0,150.0,3.2,24.7,76,-99.0,-99.0
國三N223K,CAH010,2025-03-28T00:00:00+08:00,陰,>30,-99.0,160.0,2.7,24.2,78,-99.0,-99.0
國三N223K,CAH010,2025-03-28T01:00:00+08:00,陰,-99,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0
國三N223K,CAH010,2025-03-28T02:00:00+08:00,陰,>30,-99.0,170.0,2.1,23.0,82,-99.0,-99.0
國三N223K,CAH010,2025-03-28T03:00:00+08:00,陰,21-30,-99.0,170.0,3.2,22.7,83,-99.0,-99.0
國三N223K,CAH010,2025-03-28T04:00:00+08:00,陰,21-30,-99.0,170.0,2.9,22.3,84,-99.0,-99.0
國三N223K,CAH010,2025-03-28T05:00:00+08:00,陰,21-30,-99.0,180.0,1.8,22.5,83,-99.0,-99.0
國三N223K,CAH010,2025-03-28T06:00:00+08:00,多雲,21-30,-99.0,180.0,2.0,22.0,84,-99.0,-99.0
國三N223K,CAH010,2025-03-28T07:00:00+08:00,陰,21-30,-99.0,350.0,1.3,22.0,85,-99.0,-99.0
國三N223K,CAH010,2025-03-28T08:00:00+08:00,多雲,>30,-99.0,230.0,0.8,25.5,74,-99.0,-99.0
國三N223K,CAH010,2025-03-28T09:00:00+08:00,多雲,>30,-99.0,10.0,1.5,26.2,70,-99.0,-99.0
國三N223K,CAH010,2025-03-28T10:00:00+08:00,陰,21-30,-99.0,340.0,4.0,25.8,74,-99.0,-99.0
國三N223K,CAH010,2025-03-28T11:00:00+08:00,多雲,16-20,-99.0,350.0,5.4,24.6,73,-99.0,-99.0
國三N223K,CAH010,2025-03-28T12:00:00+08:00,陰,21-30,-99.0,350.0,5.9,24.3,70,-99.0,-99.0
國三N223K,CAH010,2025-03-28T13:00:00+08:00,晴,>30,-99.0,340.0,4.8,24.7,69,-99.0,-99.0
