StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
消防署訓練中心,CAHA00,2025-06-15T22:00:00+08:00,晴,-99,-99,40.0,0.3,25.8,85,-99,-99
消防署訓練中心,CAHA00,2025-06-15T23:00:00+08:00,多雲,-99,-99,50.0,0.8,25.4,90,-99,-99
消防署訓練中心,CAHA00,2025-06-16T00:00:00+08:00,陰,-99,-99,110.0,1.0,25.0,91,-99,-99
消防署訓練中心,CAHA00,2025-06-16T01:00:00+08:00,陰,-99,-99,60.0,0.5,24.8,92,-99,-99
消防署訓練中心,CAHA00,2025-06-16T02:00:00+08:00,陰,-99,-99,50.0,0.8,25.1,88,-99,-99
消防署訓練中心,CAHA00,2025-06-16T03:00:00+08:00,陰,-99,-99,50.0,0.6,24.5,90,-99,-99
消防署訓練中心,CAHA00,2025-06-16T04:00:00+08:00,陰,-99,-99,-99,0.4,24.0,91,-99,-99
消防署訓練中心,CAHA00,2025-06-16T05:00:00+08:00,陰,-99,-99,60.0,1.8,25.1,84,-99,-99
消防署訓練中心,CAHA00,2025-06-16T06:00:00+08:00,陰,-99,-99,0.0,0.2,25.7,83,-99,-99
消防署訓練中心,CAHA00,2025-06-16T07:00:00+08:00,陰,-99,-99,50.0,1.3,26.6,76,-99,-99
消防署訓練中心,CAHA00,2025-06-16T08:00:00+08:00,陰,-99,-99,160.0,0.8,29.0,72,-99,-99
消防署訓練中心,CAHA00,2025-06-16T09:00:00+08:00,陰,-99,-99,210.0,1.8,27.0,90,-99,-99
消防署訓練中心,CAHA00,2025-06-16T10:00:00+08:00,陰有雨,-99,-99,240.0,1.5,26.1,94,-99,-99
消防署訓練中心,CAHA00,2025-06-16T11:00:00+08:00,陰,-99,-99,10.0,0.6,27.1,88,-99,-99
消防署訓練中心,CAHA00,2025-06-16T12:00:00+08:00,陰,-99,-99,30.0,1.0,28.6,82,-99,-99
消防署訓練中心,CAHA00,2025-06-16T13:00:00+08:00,陰,-99,-99,190.0,0.4,30.4,73,-99,-99
消防署訓練中心,CAHA00,2025-06-16T14:00:00+08:00,陰,-99,-99,50.0,0.9,31.5,69,-99,-99
消防署訓練中心,CAHA00,2025-06-16T15:00:00+08:00,陰,-99,-99,230.0,1.8,32.4,66,-99,-99
消防署訓練中心,CAHA00,2025-06-16T16:00:00+08:00,陰,-99,-99,220.0,2.2,31.1,71,-99,-99
消防署訓練中心,CAHA00,2025-06-16T17:00:00+08:00,陰,-99,-99,230.0,1.1,29.7,84,-99,-99
消防署訓練中心,CAHA00,2025-06-16T18:00:00+08:00,陰,-99,-99,250.0,3.1,30.0,75,-99,-99
消防署訓練中心,CAHA00,2025-06-16T19:00:00+08:00,陰,-99,-99,240.0,2.7,28.4,82,-99,-99
消防署訓練中心,CAHA00,2025-06-16T20:00:00+08:00,陰,-99,-99,240.0,0.8,26.1,91,-99,-99
消防署訓練中心,CAHA00,2025-06-16T21:00:00+08:00,陰,-99,-99,70.0,0.6,25.5,96,-99,-99
消防署訓練中心,CAHA00,2025-06-16T22:00:00+08:00,陰,-99,-99,80.0,0.6,25.5,97,-99,-99
消防署訓練中心,CAHA00,2025-06-16T23:00:00+08:00,多雲,-99,-99,-99,0.5,25.3,97,-99,-99
消防署訓練中心,CAHA00,2025-06-17T00:00:00+08:00,陰,-99,-99,240.0,0.4,25.0,98,-99,-99
消防署訓練中心,CAHA00,2025-06-17T01:00:00+08:00,多雲,-99,-99,0.0,0.2,24.4,98,-99,-99
消防署訓練中心,CAHA00,2025-06-17T02:00:00+08:00,陰,-99,-99,50.0,0.4,24.4,98,-99,-99
消防署訓練中心,CAHA00,2025-06-17T03:00:00+08:00,陰,-99,-99,0.0,0.2,24.2,98,-99,-99
消防署訓練中心,CAHA00,2025-06-17T04:00:00+08:00,陰,-99,-99,40.0,1.2,24.2,96,-99,-99
消防署訓練中心,CAHA00,2025-06-17T05:00:00+08:00,陰,-99,-99,60.0,1.2,24.1,93,-99,-99
消防署訓練中心,CAHA00,2025-06-17T06:00:00+08:00,陰,-99,-99,0.0,0.0,24.4,93,-99,-99
消防署訓練中心,CAHA00,2025-06-17T07:00:00+08:00,陰,-99,-99,0.0,0.0,27.3,83,-99,-99
消防署訓練中心,CAHA00,2025-06-17T08:00:00+08:00,陰,-99,-99,200.0,1.2,28.4,79,-99,-99
消防署訓練中心,CAHA00,2025-06-17T09:00:00+08:00,多雲,-99,-99,240.0,2.4,30.3,69,-99,-99
消防署訓練中心,CAHA00,2025-06-17T10:00:00+08:00,陰,-99,-99,270.0,1.5,31.1,68,-99,-99
消防署訓練中心,CAHA00,2025-06-17T11:00:00+08:00,陰有雷,-99,-99,270.0,2.9,32.0,66,-99,-99
消防署訓練中心,CAHA00,2025-06-17T12:00:00+08:00,陰有雷雨,-99,-99,20.0,2.0,24.3,90,-99,-99
消防署訓練中心,CAHA00,2025-06-17T13:00:00+08:00,陰,-99,-99,10.0,0.8,23.8,95,-99,-99
消防署訓練中心,CAHA00,2025-06-17T14:00:00+08:00,陰,-99,-99,70.0,2.1,24.6,92,-99,-99
消防署訓練中心,CAHA00,2025-06-17T15:00:00+08:00,陰,-99,-99,80.0,3.1,28.4,72,-99,-99
消防署訓練中心,CAHA00,2025-06-17T16:00:00+08:00,多雲,-99,-99,80.0,2.2,30.6,65,-99,-99
消防署訓練中心,CAHA00,2025-06-17T17:00:00+08:00,晴,-99,-99,50.0,0.6,31.1,64,-99,-99
消防署訓練中心,CAHA00,2025-06-17T18:00:00+08:00,陰,-99,-99,0.0,0.1,29.7,71,-99,-99
消防署訓練中心,CAHA00,2025-06-17T19:00:00+08:00,陰,-99,-99,70.0,0.8,26.7,86,-99,-99
消防署訓練中心,CAHA00,2025-06-17T20:00:00+08:00,陰,-99,-99,70.0,1.0,26.1,85,-99,-99
消防署訓練中心,CAHA00,2025-06-17T21:00:00+08:00,陰,-99,-99,0.0,0.2,25.5,89,-99,-99
消防署訓練中心,CAHA00,2025-06-17T22:00:00+08:00,陰,-99,-99,0.0,0.0,24.9,92,-99,-99
消防署訓練中心,CAHA00,2025-06-17T23:00:00+08:00,陰,-99,-99,0.0,0.0,24.6,93,-99,-99
消防署訓練中心,CAHA00,2025-06-18T00:00:00+08:00,陰,-99,-99,0.0,0.0,24.3,93,-99,-99
消防署訓練中心,CAHA00,2025-06-18T01:00:00+08:00,陰,-99,-99,80.0,1.1,24.6,90,-99,-99
消防署訓練中心,CAHA00,2025-06-18T02:00:00+08:00,陰,-99,-99,80.0,1.3,24.9,86,-99,-99
消防署訓練中心,CAHA00,2025-06-18T03:00:00+08:00,陰,-99,-99,80.0,1.3,25.1,83,-99,-99
消防署訓練中心,CAHA00,2025-06-18T04:00:00+08:00,陰,-99,-99,0.0,0.0,24.4,89,-99,-99
消防署訓練中心,CAHA00,2025-06-18T05:00:00+08:00,陰,-99,-99,70.0,1.5,24.7,83,-99,-99
消防署訓練中心,CAHA00,2025-06-18T06:00:00+08:00,陰,-99,-99,60.0,0.4,25.1,81,-99,-99
消防署訓練中心,CAHA00,2025-06-18T07:00:00+08:00,陰,-99,-99,80.0,0.9,27.1,76,-99,-99
消防署訓練中心,CAHA00,2025-06-18T08:00:00+08:00,陰,-99,-99,70.0,1.8,29.6,67,-99,-99
消防署訓練中心,CAHA00,2025-06-18T09:00:00+08:00,多雲,-99,-99,70.0,1.6,31.4,61,-99,-99
消防署訓練中心,CAHA00,2025-06-18T10:00:00+08:00,陰,-99,-99,220.0,1.8,32.8,59,-99,-99
消防署訓練中心,CAHA00,2025-06-18T11:00:00+08:00,陰,-99,-99,240.0,2.7,31.5,65,-99,-99
消防署訓練中心,CAHA00,2025-06-18T12:00:00+08:00,多雲,-99,-99,220.0,1.3,33.7,59,-99,-99
消防署訓練中心,CAHA00,2025-06-18T13:00:00+08:00,多雲有雷,-99,-99,340.0,0.6,32.5,61,-99,-99
消防署訓練中心,CAHA00,2025-06-18T14:00:00+08:00,陰有雨,-99,-99,100.0,1.7,24.0,87,-99,-99
消防署訓練中心,CAHA00,2025-06-18T15:00:00+08:00,陰有雷,-99,-99,0.0,0.1,24.4,90,-99,-99
消防署訓練中心,CAHA00,2025-06-18T16:00:00+08:00,陰,-99,-99,0.0,0.0,24.5,92,-99,-99
消防署訓練中心,CAHA00,2025-06-18T17:00:00+08:00,陰,-99,-99,80.0,1.7,24.4,94,-99,-99
消防署訓練中心,CAHA00,2025-06-18T18:00:00+08:00,陰,-99,-99,60.0,2.0,24.9,93,-99,-99
消防署訓練中心,CAHA00,2025-06-18T19:00:00+08:00,陰,-99,-99,200.0,1.2,25.1,91,-99,-99
消防署訓練中心,CAHA00,2025-06-18T20:00:00+08:00,陰,-99,-99,0.0,0.1,24.4,95,-99,-99
消防署訓練中心,CAHA00,2025-06-18T21:00:00+08:00,陰,-99,-99,80.0,0.6,24.3,92,-99,-99
消防署訓練中心,CAHA00,2025-06-18T22:00:00+08:00,陰,-99,-99,-99,0.4,24.0,93,-99,-99
消防署訓練中心,CAHA00,2025-06-18T23:00:00+08:00,陰,-99,-99,0.0,0.2,23.8,96,-99,-99
消防署訓練中心,CAHA00,2025-06-19T00:00:00+08:00,陰,-99,-99,80.0,0.9,23.6,90,-99,-99
消防署訓練中心,CAHA00,2025-06-19T01:00:00+08:00,陰,-99,-99,70.0,1.1,23.5,88,-99,-99
消防署訓練中心,CAHA00,2025-06-19T02:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
消防署訓練中心,CAHA00,2025-06-19T03:00:00+08:00,陰,-99,-99,80.0,0.8,23.7,85,-99,-99
消防署訓練中心,CAHA00,2025-06-19T04:00:00+08:00,陰,-99,-99,60.0,1.5,23.3,83,-99,-99
消防署訓練中心,CAHA00,2025-06-19T05:00:00+08:00,陰,-99,-99,70.0,2.2,23.7,80,-99,-99
消防署訓練中心,CAHA00,2025-06-19T06:00:00+08:00,陰,-99,-99,70.0,2.4,23.9,78,-99,-99
消防署訓練中心,CAHA00,2025-06-19T07:00:00+08:00,多雲,-99,-99,60.0,3.0,26.0,71,-99,-99
消防署訓練中心,CAHA00,2025-06-19T08:00:00+08:00,晴,-99,-99,70.0,2.2,28.1,63,-99,-99
消防署訓練中心,CAHA00,2025-06-19T09:00:00+08:00,晴,-99,-99,70.0,1.8,30.6,58,-99,-99
消防署訓練中心,CAHA00,2025-06-19T10:00:00+08:00,晴,-99,-99,250.0,1.1,32.2,56,-99,-99
消防署訓練中心,CAHA00,2025-06-19T11:00:00+08:00,多雲,-99,-99,270.0,0.9,33.4,52,-99,-99
消防署訓練中心,CAHA00,2025-06-19T12:00:00+08:00,多雲,-99,-99,310.0,1.8,34.1,52,-99,-99
消防署訓練中心,CAHA00,2025-06-19T13:00:00+08:00,陰,-99,-99,290.0,2.2,32.6,64,-99,-99
消防署訓練中心,CAHA00,2025-06-19T14:00:00+08:00,多雲,-99,-99,330.0,1.1,32.9,62,-99,-99
消防署訓練中心,CAHA00,2025-06-19T15:00:00+08:00,多雲有雨,-99,-99,240.0,2.5,28.0,86,-99,-99
