StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
大華,C2M9A0,2026-03-01T23:00:00+08:00,晴,-99,-99,50.0,0.7,19.7,84,-99,-99
大華,C2M9A0,2026-03-02T00:00:00+08:00,多雲,-99,-99,340.0,0.8,19.7,84,-99,-99
大華,C2M9A0,2026-03-02T01:00:00+08:00,多雲,-99,-99,330.0,0.6,19.0,85,-99,-99
大華,C2M9A0,2026-03-02T02:00:00+08:00,晴,-99,-99,320.0,0.6,18.8,84,-99,-99
大華,C2M9A0,2026-03-02T03:00:00+08:00,晴,-99,-99,330.0,0.8,18.2,85,-99,-99
大華,C2M9A0,2026-03-02T04:00:00+08:00,晴,-99,-99,300.0,0.5,18.2,86,-99,-99
大華,C2M9A0,2026-03-02T05:00:00+08:00,晴,-99,-99,330.0,0.9,17.4,88,-99,-99
大華,C2M9A0,2026-03-02T06:00:00+08:00,晴,-99,-99,320.0,0.9,17.6,87,-99,-99
大華,C2M9A0,2026-03-02T07:00:00+08:00,晴,-99,-99,280.0,0.3,17.9,88,-99,-99
大華,C2M9A0,2026-03-02T08:00:00+08:00,晴,-99,-99,110.0,1.1,22.1,68,-99,-99
大華,C2M9A0,2026-03-02T09:00:00+08:00,晴,-99,-99,120.0,1.1,24.4,63,-99,-99
大華,C2M9A0,2026-03-02T10:00:00+08:00,多雲,-99,-99,140.0,1.1,26.4,59,-99,-99
大華,C2M9A0,2026-03-02T11:00:00+08:00,多雲,-99,-99,160.0,1.5,26.7,60,-99,-99
大華,C2M9A0,2026-03-02T12:00:00+08:00,陰,-99,-99,110.0,0.9,23.9,70,-99,-99
大華,C2M9A0,2026-03-02T13:00:00+08:00,陰,-99,-99,140.0,1.2,25.0,67,-99,-99
大華,C2M9A0,2026-03-02T14:00:00+08:00,陰,-99,-99,140.0,0.8,24.0,74,-99,-99
大華,C2M9A0,2026-03-02T15:00:00+08:00,陰,-99,-99,150.0,0.8,24.4,73,-99,-99
