StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
紫雲,C2M9C0,2026-03-01T23:00:00+08:00,晴,-99,-99,10.0,0.4,21.4,96,-99,-99
紫雲,C2M9C0,2026-03-02T00:00:00+08:00,多雲,-99,-99,210.0,0.4,21.9,95,-99,-99
紫雲,C2M9C0,2026-03-02T01:00:00+08:00,多雲,-99,-99,350.0,1.7,22.4,92,-99,-99
紫雲,C2M9C0,2026-03-02T02:00:00+08:00,多雲,-99,-99,320.0,0.2,22.1,94,-99,-99
紫雲,C2M9C0,2026-03-02T03:00:00+08:00,晴,-99,-99,110.0,0.6,21.8,96,-99,-99
紫雲,C2M9C0,2026-03-02T04:00:00+08:00,晴,-99,-99,150.0,0.6,21.5,97,-99,-99
紫雲,C2M9C0,2026-03-02T05:00:00+08:00,晴,-99,-99,40.0,0.7,20.8,98,-99,-99
紫雲,C2M9C0,2026-03-02T06:00:00+08:00,晴,-99,-99,60.0,0.8,19.8,98,-99,-99
紫雲,C2M9C0,2026-03-02T07:00:00+08:00,多雲,-99,-99,150.0,0.7,20.0,98,-99,-99
紫雲,C2M9C0,2026-03-02T08:00:00+08:00,晴,-99,-99,120.0,1.3,24.6,78,-99,-99
紫雲,C2M9C0,2026-03-02T09:00:00+08:00,晴,-99,-99,270.0,1.3,27.6,65,-99,-99
紫雲,C2M9C0,2026-03-02T10:00:00+08:00,多雲,-99,-99,270.0,1.3,29.0,60,-99,-99
紫雲,C2M9C0,2026-03-02T11:00:00+08:00,晴,-99,-99,290.0,1.5,29.7,60,-99,-99
紫雲,C2M9C0,2026-03-02T12:00:00+08:00,陰,-99,-99,270.0,1.4,28.5,63,-99,-99
紫雲,C2M9C0,2026-03-02T13:00:00+08:00,陰,-99,-99,260.0,1.1,29.2,62,-99,-99
紫雲,C2M9C0,2026-03-02T14:00:00+08:00,陰,-99,-99,310.0,1.5,30.1,60,-99,-99
紫雲,C2M9C0,2026-03-02T15:00:00+08:00,多雲,-99,-99,290.0,2.3,31.6,56,-99,-99
