StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
旺來山,C2M9E0,2026-03-01T23:00:00+08:00,多雲,-99,-99,170.0,2.5,22.8,88,-99,-99
旺來山,C2M9E0,2026-03-02T00:00:00+08:00,陰,-99,-99,190.0,2.6,23.3,83,-99,-99
旺來山,C2M9E0,2026-03-02T01:00:00+08:00,多雲,-99,-99,40.0,2.9,22.0,92,-99,-99
旺來山,C2M9E0,2026-03-02T02:00:00+08:00,多雲,-99,-99,30.0,2.5,21.7,93,-99,-99
旺來山,C2M9E0,2026-03-02T03:00:00+08:00,晴,-99,-99,40.0,2.2,21.6,93,-99,-99
旺來山,C2M9E0,2026-03-02T04:00:00+08:00,晴,-99,-99,40.0,2.4,21.2,95,-99,-99
旺來山,C2M9E0,2026-03-02T05:00:00+08:00,晴,-99,-99,30.0,2.2,21.0,95,-99,-99
旺來山,C2M9E0,2026-03-02T06:00:00+08:00,晴,-99,-99,50.0,1.0,20.4,96,-99,-99
旺來山,C2M9E0,2026-03-02T07:00:00+08:00,多雲,-99,-99,70.0,1.6,21.0,97,-99,-99
旺來山,C2M9E0,2026-03-02T08:00:00+08:00,晴,-99,-99,130.0,1.4,24.1,80,-99,-99
旺來山,C2M9E0,2026-03-02T09:00:00+08:00,晴,-99,-99,290.0,1.4,26.3,69,-99,-99
旺來山,C2M9E0,2026-03-02T10:00:00+08:00,多雲,-99,-99,250.0,2.0,27.8,64,-99,-99
旺來山,C2M9E0,2026-03-02T11:00:00+08:00,晴,-99,-99,240.0,2.7,29.7,58,-99,-99
旺來山,C2M9E0,2026-03-02T12:00:00+08:00,陰,-99,-99,260.0,2.7,28.5,64,-99,-99
旺來山,C2M9E0,2026-03-02T13:00:00+08:00,陰,-99,-99,270.0,2.9,28.5,65,-99,-99
旺來山,C2M9E0,2026-03-02T14:00:00+08:00,陰,-99,-99,330.0,2.9,28.6,63,-99,-99
旺來山,C2M9E0,2026-03-02T15:00:00+08:00,晴,-99,-99,290.0,3.3,30.0,55,-99,-99
