StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
國一N273K,CAL040,2025-04-01T00:00:00+08:00,陰,-99,-99.0,10.0,4.2,14.9,94,-99.0,-99.0
國一N273K,CAL040,2025-04-01T01:00:00+08:00,陰,-99,-99.0,10.0,3.6,14.9,94,-99.0,-99.0
國一N273K,CAL040,2025-04-01T02:00:00+08:00,陰,-99,-99.0,360.0,2.5,14.8,96,-99.0,-99.0
國一N273K,CAL040,2025-04-01T03:00:00+08:00,陰,-99,-99.0,30.0,2.2,14.1,99,-99.0,-99.0
國一N273K,CAL040,2025-04-01T04:00:00+08:00,陰,-99,-99.0,20.0,1.5,14.4,98,-99.0,-99.0
國一N273K,CAL040,2025-04-01T05:00:00+08:00,陰,-99,-99.0,360.0,3.9,14.4,97,-99.0,-99.0
國一N273K,CAL040,2025-04-01T06:00:00+08:00,陰,-99,-99.0,10.0,3.0,14.8,94,-99.0,-99.0
國一N273K,CAL040,2025-04-01T07:00:00+08:00,陰,-99,-99.0,20.0,2.9,15.0,93,-99.0,-99.0
國一N273K,CAL040,2025-04-01T08:00:00+08:00,陰,-99,-99.0,360.0,3.6,15.6,91,-99.0,-99.0
國一N273K,CAL040,2025-04-01T09:00:00+08:00,陰,-99,-99.0,360.0,3.6,16.8,88,-99.0,-99.0
國一N273K,CAL040,2025-04-01T10:00:00+08:00,陰,-99,-99.0,360.0,3.2,17.5,86,-99.0,-99.0
國一N273K,CAL040,2025-04-01T11:00:00+08:00,陰,-99,-99.0,10.0,4.7,18.3,83,-99.0,-99.0
國一N273K,CAL040,2025-04-01T12:00:00+08:00,陰,-99,-99.0,360.0,3.2,19.8,78,-99.0,-99.0
國一N273K,CAL040,2025-04-01T13:00:00+08:00,陰,-99,-99.0,10.0,4.3,19.8,78,-99.0,-99.0
國一N273K,CAL040,2025-04-01T14:00:00+08:00,陰,-99,-99.0,360.0,3.7,20.6,75,-99.0,-99.0
國一N273K,CAL040,2025-04-01T15:00:00+08:00,多雲,-99,-99.0,350.0,4.8,20.0,76,-99.0,-99.0
