StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
國三S290K,CAM900,2025-06-15T22:00:00+08:00,多雲,7-10,-99,210.0,1.6,29.3,73,-99,-99
國三S290K,CAM900,2025-06-15T23:00:00+08:00,多雲,7-10,-99,180.0,1.5,28.3,76,-99,-99
國三S290K,CAM900,2025-06-16T00:00:00+08:00,陰,7-10,-99,170.0,0.9,27.7,77,-99,-99
國三S290K,CAM900,2025-06-16T01:00:00+08:00,陰,7-10,-99,40.0,0.6,27.8,73,-99,-99
國三S290K,CAM900,2025-06-16T02:00:00+08:00,陰,7-10,-99,190.0,1.3,27.7,73,-99,-99
國三S290K,CAM900,2025-06-16T03:00:00+08:00,陰,7-10,-99,210.0,0.9,27.5,74,-99,-99
國三S290K,CAM900,2025-06-16T04:00:00+08:00,陰,7-10,-99,190.0,2.7,28.7,71,-99,-99
國三S290K,CAM900,2025-06-16T05:00:00+08:00,陰,7-10,-99,180.0,1.7,28.6,71,-99,-99
國三S290K,CAM900,2025-06-16T06:00:00+08:00,陰,7-10,-99,180.0,1.8,28.3,74,-99,-99
國三S290K,CAM900,2025-06-16T07:00:00+08:00,陰,7-10,-99,170.0,0.6,29.0,74,-99,-99
國三S290K,CAM900,2025-06-16T08:00:00+08:00,陰,7-10,-99,190.0,1.3,30.1,75,-99,-99
國三S290K,CAM900,2025-06-16T09:00:00+08:00,陰有雷,3-6,-99,290.0,2.4,25.5,98,-99,-99
國三S290K,CAM900,2025-06-16T10:00:00+08:00,陰,7-10,-99,130.0,0.8,25.7,100,-99,-99
國三S290K,CAM900,2025-06-16T11:00:00+08:00,陰有雨,7-10,-99,210.0,0.6,26.7,99,-99,-99
國三S290K,CAM900,2025-06-16T12:00:00+08:00,陰,7-10,-99,200.0,1.3,28.8,88,-99,-99
國三S290K,CAM900,2025-06-16T13:00:00+08:00,陰,7-10,-99,180.0,2.9,30.2,81,-99,-99
國三S290K,CAM900,2025-06-16T14:00:00+08:00,陰,7-10,-99,200.0,1.7,31.5,79,-99,-99
國三S290K,CAM900,2025-06-16T15:00:00+08:00,陰,7-10,-99,220.0,1.1,31.8,78,-99,-99
國三S290K,CAM900,2025-06-16T16:00:00+08:00,陰,7-10,-99,230.0,1.6,31.3,77,-99,-99
國三S290K,CAM900,2025-06-16T17:00:00+08:00,陰,7-10,-99,250.0,3.2,30.5,80,-99,-99
國三S290K,CAM900,2025-06-16T18:00:00+08:00,陰,7-10,-99,210.0,2.9,29.2,84,-99,-99
國三S290K,CAM900,2025-06-16T19:00:00+08:00,陰,7-10,-99,260.0,0.6,25.7,99,-99,-99
國三S290K,CAM900,2025-06-16T20:00:00+08:00,陰,7-10,-99,110.0,0.3,25.5,100,-99,-99
國三S290K,CAM900,2025-06-16T21:00:00+08:00,陰有靄,3-6,-99,40.0,0.6,25.8,100,-99,-99
國三S290K,CAM900,2025-06-16T22:00:00+08:00,陰,7-10,-99,90.0,0.8,25.8,100,-99,-99
國三S290K,CAM900,2025-06-16T23:00:00+08:00,陰,7-10,-99,250.0,0.9,25.8,100,-99,-99
國三S290K,CAM900,2025-06-17T00:00:00+08:00,陰,7-10,-99,200.0,0.4,25.3,100,-99,-99
國三S290K,CAM900,2025-06-17T01:00:00+08:00,晴,7-10,-99,120.0,1.3,25.3,100,-99,-99
國三S290K,CAM900,2025-06-17T02:00:00+08:00,多雲,7-10,-99,110.0,0.8,25.0,100,-99,-99
國三S290K,CAM900,2025-06-17T03:00:00+08:00,陰,7-10,-99,110.0,0.3,24.5,99,-99,-99
國三S290K,CAM900,2025-06-17T04:00:00+08:00,陰,7-10,-99,110.0,0.5,24.5,99,-99,-99
國三S290K,CAM900,2025-06-17T05:00:00+08:00,多雲,7-10,-99,50.0,0.5,24.3,98,-99,-99
國三S290K,CAM900,2025-06-17T06:00:00+08:00,多雲,7-10,-99,130.0,0.3,24.2,99,-99,-99
國三S290K,CAM900,2025-06-17T07:00:00+08:00,多雲,7-10,-99,120.0,0.6,27.0,89,-99,-99
國三S290K,CAM900,2025-06-17T08:00:00+08:00,陰,7-10,-99,110.0,0.4,30.1,75,-99,-99
國三S290K,CAM900,2025-06-17T09:00:00+08:00,晴,7-10,-99,270.0,1.3,31.7,71,-99,-99
國三S290K,CAM900,2025-06-17T10:00:00+08:00,晴,7-10,-99,300.0,1.7,31.6,75,-99,-99
國三S290K,CAM900,2025-06-17T11:00:00+08:00,陰,7-10,-99,220.0,0.4,31.1,77,-99,-99
國三S290K,CAM900,2025-06-17T12:00:00+08:00,陰有靄,7-10,-99,40.0,2.0,25.3,93,-99,-99
國三S290K,CAM900,2025-06-17T13:00:00+08:00,陰,7-10,-99,110.0,2.2,25.7,89,-99,-99
國三S290K,CAM900,2025-06-17T14:00:00+08:00,多雲,7-10,-99,120.0,1.2,30.6,74,-99,-99
國三S290K,CAM900,2025-06-17T15:00:00+08:00,多雲,7-10,-99,80.0,0.6,33.2,61,-99,-99
國三S290K,CAM900,2025-06-17T16:00:00+08:00,晴,7-10,-99,290.0,1.2,33.1,63,-99,-99
國三S290K,CAM900,2025-06-17T17:00:00+08:00,晴,7-10,-99,20.0,0.8,33.7,61,-99,-99
國三S290K,CAM900,2025-06-17T18:00:00+08:00,陰,7-10,-99,280.0,0.6,30.3,76,-99,-99
