StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
長嶺,C2UC20,2026-03-01T23:00:00+08:00,晴,-99,-99,60.0,1.4,18.0,98,-99,-99
長嶺,C2UC20,2026-03-02T00:00:00+08:00,多雲,-99,-99,50.0,1.2,18.2,98,-99,-99
長嶺,C2UC20,2026-03-02T01:00:00+08:00,多雲,-99,-99,70.0,1.4,18.7,94,-99,-99
長嶺,C2UC20,2026-03-02T02:00:00+08:00,晴,-99,-99,40.0,1.5,18.6,95,-99,-99
長嶺,C2UC20,2026-03-02T03:00:00+08:00,晴,-99,-99,60.0,1.2,18.6,95,-99,-99
長嶺,C2UC20,2026-03-02T04:00:00+08:00,晴,-99,-99,60.0,1.4,18.2,96,-99,-99
長嶺,C2UC20,2026-03-02T05:00:00+08:00,晴,-99,-99,50.0,1.3,18.1,97,-99,-99
長嶺,C2UC20,2026-03-02T06:00:00+08:00,晴,-99,-99,60.0,1.5,18.1,96,-99,-99
長嶺,C2UC20,2026-03-02T07:00:00+08:00,晴,-99,-99,50.0,1.3,18.5,97,-99,-99
長嶺,C2UC20,2026-03-02T08:00:00+08:00,晴,-99,-99,80.0,0.6,22.3,83,-99,-99
長嶺,C2UC20,2026-03-02T09:00:00+08:00,晴,-99,-99,170.0,0.6,25.6,70,-99,-99
長嶺,C2UC20,2026-03-02T10:00:00+08:00,晴,-99,-99,240.0,0.7,26.9,66,-99,-99
長嶺,C2UC20,2026-03-02T11:00:00+08:00,晴,-99,-99,270.0,0.8,26.3,68,-99,-99
長嶺,C2UC20,2026-03-02T12:00:00+08:00,陰,-99,-99,30.0,1.0,25.1,76,-99,-99
長嶺,C2UC20,2026-03-02T13:00:00+08:00,陰,-99,-99,250.0,0.9,24.0,77,-99,-99
長嶺,C2UC20,2026-03-02T14:00:00+08:00,陰,-99,-99,270.0,0.9,24.2,81,-99,-99
長嶺,C2UC20,2026-03-02T15:00:00+08:00,陰,-99,-99,280.0,0.4,22.6,88,-99,-99
