StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
屏東,C2R170,2025-08-01T00:00:00+08:00,陰,-99,-99,140.0,0.4,26.1,100,-99,-99
屏東,C2R170,2025-08-01T01:00:00+08:00,陰,-99,-99,360.0,0.1,26.1,100,-99,-99
屏東,C2R170,2025-08-01T02:00:00+08:00,陰,-99,-99,120.0,0.6,25.8,100,-99,-99
屏東,C2R170,2025-08-01T03:00:00+08:00,陰,-99,-99,120.0,0.2,25.8,100,-99,-99
屏東,C2R170,2025-08-01T04:00:00+08:00,陰,-99,-99,340.0,0.2,26.1,100,-99,-99
屏東,C2R170,2025-08-01T05:00:00+08:00,陰,-99,-99,10.0,0.1,25.6,100,-99,-99
屏東,C2R170,2025-08-01T06:00:00+08:00,陰有雷,-99,-99,90.0,0.6,25.4,100,-99,-99
屏東,C2R170,2025-08-01T07:00:00+08:00,陰,-99,-99,180.0,0.3,25.7,100,-99,-99
屏東,C2R170,2025-08-01T08:00:00+08:00,陰,-99,-99,140.0,1.2,25.8,100,-99,-99
屏東,C2R170,2025-08-01T09:00:00+08:00,陰有雨,-99,-99,320.0,0.4,25.8,100,-99,-99
屏東,C2R170,2025-08-01T10:00:00+08:00,陰,-99,-99,240.0,0.7,25.8,100,-99,-99
屏東,C2R170,2025-08-01T11:00:00+08:00,陰有雷雨,-99,-99,250.0,1.3,25.8,100,-99,-99
屏東,C2R170,2025-08-01T12:00:00+08:00,陰,-99,-99,290.0,0.5,25.7,100,-99,-99
屏東,C2R170,2025-08-01T13:00:00+08:00,陰有雨,-99,-99,180.0,1.1,25.9,100,-99,-99
屏東,C2R170,2025-08-01T14:00:00+08:00,陰,-99,-99,140.0,1.3,25.7,100,-99,-99
屏東,C2R170,2025-08-01T15:00:00+08:00,陰,-99,-99,240.0,1.2,26.8,100,-99,-99
