StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
高士國小,C2R9A0,2026-03-01T23:00:00+08:00,晴,-99,-99,330.0,1.2,21.7,98,-99,-99
高士國小,C2R9A0,2026-03-02T00:00:00+08:00,晴,-99,-99,280.0,1.8,22.8,95,-99,-99
高士國小,C2R9A0,2026-03-02T01:00:00+08:00,晴,-99,-99,210.0,2.1,23.3,89,-99,-99
高士國小,C2R9A0,2026-03-02T02:00:00+08:00,晴,-99,-99,180.0,0.6,22.2,94,-99,-99
高士國小,C2R9A0,2026-03-02T03:00:00+08:00,晴,-99,-99,310.0,0.6,22.6,94,-99,-99
高士國小,C2R9A0,2026-03-02T04:00:00+08:00,晴,-99,-99,50.0,0.9,22.5,96,-99,-99
高士國小,C2R9A0,2026-03-02T05:00:00+08:00,晴,-99,-99,70.0,1.0,22.9,94,-99,-99
高士國小,C2R9A0,2026-03-02T06:00:00+08:00,晴,-99,-99,80.0,1.1,22.9,94,-99,-99
高士國小,C2R9A0,2026-03-02T07:00:00+08:00,晴,-99,-99,110.0,1.1,23.0,95,-99,-99
高士國小,C2R9A0,2026-03-02T08:00:00+08:00,晴,-99,-99,60.0,1.4,25.1,90,-99,-99
高士國小,C2R9A0,2026-03-02T09:00:00+08:00,晴,-99,-99,100.0,1.3,26.0,83,-99,-99
高士國小,C2R9A0,2026-03-02T10:00:00+08:00,晴,-99,-99,100.0,1.2,28.6,77,-99,-99
高士國小,C2R9A0,2026-03-02T11:00:00+08:00,晴,-99,-99,360.0,2.4,28.0,72,-99,-99
高士國小,C2R9A0,2026-03-02T12:00:00+08:00,晴,-99,-99,360.0,3.0,28.8,65,-99,-99
高士國小,C2R9A0,2026-03-02T13:00:00+08:00,晴,-99,-99,350.0,2.2,29.2,65,-99,-99
高士國小,C2R9A0,2026-03-02T14:00:00+08:00,晴,-99,-99,350.0,2.1,28.6,67,-99,-99
高士國小,C2R9A0,2026-03-02T15:00:00+08:00,晴,-99,-99,320.0,2.8,28.3,66,-99,-99
