StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
大新,C2RA10,2026-03-01T23:00:00+08:00,多雲,-99,-99,100.0,0.8,23.7,81,-99,-99
大新,C2RA10,2026-03-02T00:00:00+08:00,多雲,-99,-99,150.0,0.8,23.7,81,-99,-99
大新,C2RA10,2026-03-02T01:00:00+08:00,多雲,-99,-99,70.0,1.0,23.3,83,-99,-99
大新,C2RA10,2026-03-02T02:00:00+08:00,晴,-99,-99,340.0,0.5,23.6,82,-99,-99
大新,C2RA10,2026-03-02T03:00:00+08:00,晴,-99,-99,180.0,0.9,23.1,85,-99,-99
大新,C2RA10,2026-03-02T04:00:00+08:00,晴,-99,-99,100.0,0.3,22.7,88,-99,-99
大新,C2RA10,2026-03-02T05:00:00+08:00,晴,-99,-99,20.0,0.4,22.0,91,-99,-99
大新,C2RA10,2026-03-02T06:00:00+08:00,多雲,-99,-99,70.0,0.8,22.5,89,-99,-99
大新,C2RA10,2026-03-02T07:00:00+08:00,晴,-99,-99,310.0,0.8,23.4,83,-99,-99
大新,C2RA10,2026-03-02T08:00:00+08:00,晴,-99,-99,50.0,0.8,26.8,69,-99,-99
大新,C2RA10,2026-03-02T09:00:00+08:00,晴,-99,-99,290.0,1.2,27.5,67,-99,-99
大新,C2RA10,2026-03-02T10:00:00+08:00,晴,-99,-99,310.0,1.7,28.4,62,-99,-99
大新,C2RA10,2026-03-02T11:00:00+08:00,多雲,-99,-99,320.0,2.8,29.7,56,-99,-99
大新,C2RA10,2026-03-02T12:00:00+08:00,晴,-99,-99,270.0,1.8,31.1,53,-99,-99
大新,C2RA10,2026-03-02T13:00:00+08:00,多雲,-99,-99,320.0,3.1,31.6,51,-99,-99
大新,C2RA10,2026-03-02T14:00:00+08:00,晴,-99,-99,300.0,4.1,31.8,52,-99,-99
大新,C2RA10,2026-03-02T15:00:00+08:00,晴,-99,-99,310.0,3.8,32.2,50,-99,-99
