StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
田頭村,C2G980,2025-07-01T00:00:00+08:00,晴,-99,-99,270.0,0.6,27.6,94,-99,-99
田頭村,C2G980,2025-07-01T01:00:00+08:00,晴,-99,-99,-99,0.3,27.2,94,-99,-99
田頭村,C2G980,2025-07-01T02:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T03:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T04:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T05:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T06:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T07:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T08:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T09:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T10:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T11:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T12:00:00+08:00,晴,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T13:00:00+08:00,多雲,-99,-99,-99,-99,-99,-99,-99,-99
田頭村,C2G980,2025-07-01T14:00:00+08:00,多雲,-99,-99,300.0,3.7,33.5,63,-99,-99
田頭村,C2G980,2025-07-01T15:00:00+08:00,多雲,-99,-99,300.0,3.4,34.2,60,-99,-99
