StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
埔南,C2G9C0,2026-03-01T23:00:00+08:00,多雲,-99,-99,40.0,0.6,21.9,90,-99,-99
埔南,C2G9C0,2026-03-02T00:00:00+08:00,多雲,-99,-99,360.0,1.3,22.0,88,-99,-99
埔南,C2G9C0,2026-03-02T01:00:00+08:00,晴,-99,-99,10.0,2.2,21.3,93,-99,-99
埔南,C2G9C0,2026-03-02T02:00:00+08:00,晴,-99,-99,340.0,2.1,21.2,94,-99,-99
埔南,C2G9C0,2026-03-02T03:00:00+08:00,晴,-99,-99,340.0,0.7,21.1,94,-99,-99
埔南,C2G9C0,2026-03-02T04:00:00+08:00,晴,-99,-99,290.0,1.1,21.2,94,-99,-99
埔南,C2G9C0,2026-03-02T05:00:00+08:00,晴,-99,-99,180.0,1.5,21.4,95,-99,-99
埔南,C2G9C0,2026-03-02T06:00:00+08:00,多雲,-99,-99,110.0,0.4,21.2,95,-99,-99
埔南,C2G9C0,2026-03-02T07:00:00+08:00,多雲,-99,-99,130.0,0.4,21.6,96,-99,-99
埔南,C2G9C0,2026-03-02T08:00:00+08:00,晴,-99,-99,150.0,2.0,22.9,91,-99,-99
埔南,C2G9C0,2026-03-02T09:00:00+08:00,晴,-99,-99,210.0,2.0,26.2,79,-99,-99
埔南,C2G9C0,2026-03-02T10:00:00+08:00,陰,-99,-99,220.0,2.5,27.6,72,-99,-99
埔南,C2G9C0,2026-03-02T11:00:00+08:00,陰,-99,-99,220.0,2.4,28.2,71,-99,-99
埔南,C2G9C0,2026-03-02T12:00:00+08:00,陰,-99,-99,290.0,2.7,28.1,72,-99,-99
埔南,C2G9C0,2026-03-02T13:00:00+08:00,陰,-99,-99,240.0,2.3,29.6,68,-99,-99
埔南,C2G9C0,2026-03-02T14:00:00+08:00,晴,-99,-99,280.0,3.7,28.4,70,-99,-99
埔南,C2G9C0,2026-03-02T15:00:00+08:00,晴,-99,-99,310.0,4.1,27.2,77,-99,-99
