StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
移民庄,C2G9E0,2026-03-01T23:00:00+08:00,多雲,-99,-99,320.0,1.7,21.5,92,-99,-99
移民庄,C2G9E0,2026-03-02T00:00:00+08:00,多雲,-99,-99,340.0,1.7,22.0,92,-99,-99
移民庄,C2G9E0,2026-03-02T01:00:00+08:00,晴,-99,-99,10.0,2.0,21.1,94,-99,-99
移民庄,C2G9E0,2026-03-02T02:00:00+08:00,晴,-99,-99,10.0,1.8,21.0,94,-99,-99
移民庄,C2G9E0,2026-03-02T03:00:00+08:00,晴,-99,-99,360.0,1.2,21.2,94,-99,-99
移民庄,C2G9E0,2026-03-02T04:00:00+08:00,多雲有雨,-99,-99,300.0,0.6,21.0,95,-99,-99
移民庄,C2G9E0,2026-03-02T05:00:00+08:00,多雲有雨,-99,-99,100.0,1.2,21.3,96,-99,-99
移民庄,C2G9E0,2026-03-02T06:00:00+08:00,多雲,-99,-99,120.0,0.8,21.1,96,-99,-99
移民庄,C2G9E0,2026-03-02T07:00:00+08:00,陰,-99,-99,320.0,0.2,21.0,96,-99,-99
移民庄,C2G9E0,2026-03-02T08:00:00+08:00,晴,-99,-99,140.0,1.3,22.8,96,-99,-99
移民庄,C2G9E0,2026-03-02T09:00:00+08:00,晴,-99,-99,190.0,2.4,24.5,87,-99,-99
移民庄,C2G9E0,2026-03-02T10:00:00+08:00,多雲,-99,-99,220.0,1.7,26.8,77,-99,-99
移民庄,C2G9E0,2026-03-02T11:00:00+08:00,陰,-99,-99,260.0,2.6,26.9,76,-99,-99
移民庄,C2G9E0,2026-03-02T12:00:00+08:00,陰,-99,-99,270.0,3.4,27.2,75,-99,-99
移民庄,C2G9E0,2026-03-02T13:00:00+08:00,多雲,-99,-99,260.0,2.4,28.4,69,-99,-99
移民庄,C2G9E0,2026-03-02T14:00:00+08:00,晴,-99,-99,290.0,4.7,27.5,73,-99,-99
移民庄,C2G9E0,2026-03-02T15:00:00+08:00,晴,-99,-99,300.0,4.1,26.8,77,-99,-99
