StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
國一S088K,CAD040,2025-05-10T09:00:00+08:00,陰有雨,1.4,-99,80.0,2.2,22.0,100,-99,-99
國一S088K,CAD040,2025-05-10T10:00:00+08:00,陰有雨,1.8,-99,220.0,0.6,22.2,100,-99,-99
國一S088K,CAD040,2025-05-10T11:00:00+08:00,陰有雨,3-6,-99,120.0,1.5,22.6,100,-99,-99
國一S088K,CAD040,2025-05-10T12:00:00+08:00,陰,21-30,-99,130.0,1.8,23.2,-99,-99,-99
國一S088K,CAD040,2025-05-10T13:00:00+08:00,陰,>30,-99,110.0,2.1,24.5,95,-99,-99
國一S088K,CAD040,2025-05-10T14:00:00+08:00,陰,>30,-99,100.0,1.0,25.3,94,-99,-99
國一S088K,CAD040,2025-05-10T15:00:00+08:00,陰,>30,-99,30.0,2.0,25.6,87,-99,-99
國一S088K,CAD040,2025-05-10T16:00:00+08:00,陰,21-30,-99,80.0,2.7,25.8,87,-99,-99
國一S088K,CAD040,2025-05-10T17:00:00+08:00,陰,>30,-99,70.0,2.7,25.3,84,-99,-99
國一S088K,CAD040,2025-05-10T20:00:00+08:00,陰,>30,-99,60.0,2.5,25.0,74,-99,-99
國一S088K,CAD040,2025-05-10T21:00:00+08:00,陰,>30,-99,110.0,2.2,24.7,76,-99,-99
國一S088K,CAD040,2025-05-10T22:00:00+08:00,陰,>30,-99,110.0,2.5,23.8,75,-99,-99
國一S088K,CAD040,2025-05-10T23:00:00+08:00,陰,>30,-99,110.0,2.6,24.0,70,-99,-99
國一S088K,CAD040,2025-05-11T00:00:00+08:00,陰,>30,-99,-99,1.3,23.5,76,-99,-99
國一S088K,CAD040,2025-05-11T01:00:00+08:00,陰,>30,-99,310.0,0.9,23.3,77,-99,-99
國一S088K,CAD040,2025-05-11T02:00:00+08:00,陰,>30,-99,10.0,1.6,23.7,83,-99,-99
國一S088K,CAD040,2025-05-11T03:00:00+08:00,陰,>30,-99,50.0,1.6,23.3,82,-99,-99
國一S088K,CAD040,2025-05-11T04:00:00+08:00,陰,>30,-99,50.0,1.5,23.0,75,-99,-99
國一S088K,CAD040,2025-05-11T05:00:00+08:00,陰,>30,-99,100.0,0.6,22.5,79,-99,-99
國一S088K,CAD040,2025-05-11T08:00:00+08:00,陰有雨,3-6,-99,20.0,1.0,20.7,97,-99,-99
國一S088K,CAD040,2025-05-11T09:00:00+08:00,晴有靄,7-10,-99,20.0,1.5,20.7,98,-99,-99
國一S088K,CAD040,2025-05-11T10:00:00+08:00,陰有雨,3-6,-99,20.0,2.2,20.0,97,-99,-99
國一S088K,CAD040,2025-05-11T11:00:00+08:00,陰有雨,3-6,-99,10.0,0.9,20.0,97,-99,-99
國一S088K,CAD040,2025-05-11T13:00:00+08:00,陰有雨,3-6,-99,70.0,1.0,20.1,97,-99,-99
國一S088K,CAD040,2025-05-11T14:00:00+08:00,陰有雨,3-6,-99,-99,1.3,19.8,97,-99,-99
國一S088K,CAD040,2025-05-11T15:00:00+08:00,陰,16-20,-99,60.0,2.1,19.8,94,-99,-99
