StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
新屋,467050,2025-07-01T00:00:00+08:00,晴,16-20,11.8,160.0,1.0,28.0,90,1006.3,0
新屋,467050,2025-07-01T01:00:00+08:00,晴,16-20,0.0,190.0,0.9,28.1,89,1006.3,0
新屋,467050,2025-07-01T02:00:00+08:00,晴,11-15,0.0,200.0,1.5,27.7,91,1006.3,0
新屋,467050,2025-07-01T03:00:00+08:00,晴,11-15,0.0,180.0,1.6,27.6,91,1006.2,0
新屋,467050,2025-07-01T04:00:00+08:00,晴,7-10,0.0,150.0,1.0,27.3,92,1005.9,0
新屋,467050,2025-07-01T05:00:00+08:00,晴有靄,7-10,0.0,130.0,0.7,27.2,93,1006.0,0
新屋,467050,2025-07-01T06:00:00+08:00,晴,21-30,0.4,120.0,1.1,28.0,90,1006.7,0
新屋,467050,2025-07-01T07:00:00+08:00,晴,>30,1.2,250.0,0.5,29.4,81,1007.1,1
新屋,467050,2025-07-01T08:00:00+08:00,多雲,11-15,2.1,240.0,1.4,30.8,77,1007.5,2
新屋,467050,2025-07-01T09:00:00+08:00,多雲,11-15,2.5,290.0,1.7,30.8,74,1007.6,3
新屋,467050,2025-07-01T10:00:00+08:00,晴,>30,3.2,360.0,2.2,31.8,70,1007.6,7
新屋,467050,2025-07-01T11:00:00+08:00,多雲,16-20,4.2,320.0,2.4,32.2,67,1007.6,10
新屋,467050,2025-07-01T12:00:00+08:00,晴,>30,5.2,320.0,3.8,32.4,70,1006.9,12
新屋,467050,2025-07-01T13:00:00+08:00,晴,>30,6.2,310.0,3.6,32.6,68,1007.0,12
新屋,467050,2025-07-01T14:00:00+08:00,晴,16-20,7.2,330.0,4.3,32.1,72,1006.7,10
新屋,467050,2025-07-01T15:00:00+08:00,晴,>30,8.2,340.0,3.7,32.2,73,1006.4,7
新屋,467050,2025-07-01T16:00:00+08:00,晴,>30,9.2,330.0,4.4,31.7,73,1006.1,5
新屋,467050,2025-07-01T17:00:00+08:00,多雲,16-20,10.2,320.0,3.8,31.5,74,1005.8,2
新屋,467050,2025-07-01T18:00:00+08:00,晴,>30,11.2,300.0,2.3,31.0,77,1005.9,1
