StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
國三N063K,CAC030,2026-03-01T23:00:00+08:00,多雲,-99,-99,290.0,0.6,20.0,97,-99,-99
國三N063K,CAC030,2026-03-02T00:00:00+08:00,陰,-99,-99,290.0,3.4,19.0,99,-99,-99
國三N063K,CAC030,2026-03-02T01:00:00+08:00,晴,-99,-99,270.0,1.8,18.5,98,-99,-99
國三N063K,CAC030,2026-03-02T02:00:00+08:00,多雲,-99,-99,270.0,2.7,18.5,99,-99,-99
國三N063K,CAC030,2026-03-02T03:00:00+08:00,多雲,-99,-99,200.0,1.3,18.3,100,-99,-99
國三N063K,CAC030,2026-03-02T04:00:00+08:00,晴,-99,-99,220.0,1.5,18.5,99,-99,-99
國三N063K,CAC030,2026-03-02T05:00:00+08:00,晴,-99,-99,190.0,1.1,18.5,99,-99,-99
國三N063K,CAC030,2026-03-02T06:00:00+08:00,晴,-99,-99,140.0,0.9,18.7,97,-99,-99
國三N063K,CAC030,2026-03-02T07:00:00+08:00,晴,-99,-99,170.0,2.2,19.5,97,-99,-99
國三N063K,CAC030,2026-03-02T08:00:00+08:00,多雲,-99,-99,270.0,2.2,22.0,90,-99,-99
國三N063K,CAC030,2026-03-02T09:00:00+08:00,晴,-99,-99,240.0,2.5,24.2,85,-99,-99
國三N063K,CAC030,2026-03-02T10:00:00+08:00,晴,-99,-99,260.0,2.6,24.5,84,-99,-99
國三N063K,CAC030,2026-03-02T11:00:00+08:00,陰,-99,-99,280.0,5.5,25.2,81,-99,-99
國三N063K,CAC030,2026-03-02T12:00:00+08:00,陰,-99,-99,250.0,2.2,25.3,81,-99,-99
國三N063K,CAC030,2026-03-02T13:00:00+08:00,陰,-99,-99,300.0,2.2,23.8,88,-99,-99
國三N063K,CAC030,2026-03-02T14:00:00+08:00,陰,-99,-99,290.0,4.0,23.5,88,-99,-99
國三N063K,CAC030,2026-03-02T15:00:00+08:00,陰,-99,-99,240.0,3.2,24.3,84,-99,-99
