StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
吉貝,A0W080,2025-06-15T22:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-15T23:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T00:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T01:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T02:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T03:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T04:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T05:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T06:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T07:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T08:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T09:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T10:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T11:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T12:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T13:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T14:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
吉貝,A0W080,2025-06-16T15:00:00+08:00,陰,-99,-99,-99,-99,-99,-99,-99,-99
