StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
梧棲,C0FA30,2026-03-01T23:00:00+08:00,多雲,-99,-99,310.0,3.2,21.3,96,-99,-99
梧棲,C0FA30,2026-03-02T00:00:00+08:00,多雲,-99,-99,350.0,1.8,20.4,98,-99,-99
梧棲,C0FA30,2026-03-02T01:00:00+08:00,多雲,-99,-99,350.0,2.0,20.1,99,-99,-99
梧棲,C0FA30,2026-03-02T02:00:00+08:00,多雲,-99,-99,20.0,1.0,20.0,100,-99,-99
梧棲,C0FA30,2026-03-02T03:00:00+08:00,多雲,-99,-99,350.0,2.2,19.7,100,-99,-99
梧棲,C0FA30,2026-03-02T04:00:00+08:00,多雲,-99,-99,90.0,1.0,20.0,100,-99,-99
梧棲,C0FA30,2026-03-02T05:00:00+08:00,多雲,-99,-99,120.0,1.3,20.5,100,-99,-99
梧棲,C0FA30,2026-03-02T06:00:00+08:00,多雲,-99,-99,230.0,1.1,21.4,100,-99,-99
梧棲,C0FA30,2026-03-02T07:00:00+08:00,多雲,-99,-99,150.0,1.5,21.5,100,-99,-99
梧棲,C0FA30,2026-03-02T08:00:00+08:00,晴,-99,-99,140.0,1.3,23.0,97,-99,-99
梧棲,C0FA30,2026-03-02T09:00:00+08:00,晴,-99,-99,150.0,2.7,25.5,85,-99,-99
梧棲,C0FA30,2026-03-02T10:00:00+08:00,陰,-99,-99,160.0,2.4,25.9,84,-99,-99
梧棲,C0FA30,2026-03-02T11:00:00+08:00,陰,-99,-99,250.0,3.7,25.0,89,-99,-99
梧棲,C0FA30,2026-03-02T12:00:00+08:00,多雲,-99,-99,240.0,3.2,26.2,78,-99,-99
梧棲,C0FA30,2026-03-02T13:00:00+08:00,多雲,-99,-99,250.0,4.7,25.7,81,-99,-99
梧棲,C0FA30,2026-03-02T14:00:00+08:00,多雲,-99,-99,270.0,4.2,25.2,89,-99,-99
梧棲,C0FA30,2026-03-02T15:00:00+08:00,晴,-99,-99,280.0,4.9,24.8,89,-99,-99
