StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
國三甲005K,CAA090,2025-06-15T22:00:00+08:00,多雲,>30,-99,80.0,1.8,27.1,92,-99,-99
國三甲005K,CAA090,2025-06-15T23:00:00+08:00,多雲,>30,-99,50.0,1.3,26.5,94,-99,-99
國三甲005K,CAA090,2025-06-16T00:00:00+08:00,陰,>30,-99,-99,2.2,26.3,94,-99,-99
國三甲005K,CAA090,2025-06-16T01:00:00+08:00,陰,>30,-99,-99,1.8,26.1,93,-99,-99
國三甲005K,CAA090,2025-06-16T02:00:00+08:00,陰,>30,-99,-99,0.8,25.6,95,-99,-99
國三甲005K,CAA090,2025-06-16T03:00:00+08:00,陰,>30,-99,70.0,2.4,25.0,98,-99,-99
國三甲005K,CAA090,2025-06-16T04:00:00+08:00,陰,>30,-99,-99,2.4,25.3,96,-99,-99
國三甲005K,CAA090,2025-06-16T05:00:00+08:00,陰,>30,-99,80.0,1.6,25.5,95,-99,-99
國三甲005K,CAA090,2025-06-16T06:00:00+08:00,陰,21-30,-99,290.0,0.4,25.8,94,-99,-99
國三甲005K,CAA090,2025-06-16T07:00:00+08:00,陰,>30,-99,80.0,1.6,27.0,92,-99,-99
國三甲005K,CAA090,2025-06-16T08:00:00+08:00,陰,>30,-99,170.0,1.0,29.8,75,-99,-99
國三甲005K,CAA090,2025-06-16T09:00:00+08:00,陰,>30,-99,290.0,1.7,30.1,74,-99,-99
國三甲005K,CAA090,2025-06-16T10:00:00+08:00,陰,>30,-99,180.0,1.3,31.1,70,-99,-99
國三甲005K,CAA090,2025-06-16T11:00:00+08:00,陰,>30,-99,220.0,1.8,32.5,66,-99,-99
國三甲005K,CAA090,2025-06-16T12:00:00+08:00,陰,>30,-99,230.0,3.1,33.7,62,-99,-99
國三甲005K,CAA090,2025-06-16T13:00:00+08:00,陰,>30,-99,260.0,2.7,34.0,63,-99,-99
