StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
曾文,C2O810,2025-07-01T00:00:00+08:00,晴,-99,-99,350.0,0.5,25.5,96,-99,-99
曾文,C2O810,2025-07-01T01:00:00+08:00,晴,-99,-99,30.0,0.5,25.2,97,-99,-99
曾文,C2O810,2025-07-01T02:00:00+08:00,晴,-99,-99,360.0,0.3,25.1,97,-99,-99
曾文,C2O810,2025-07-01T03:00:00+08:00,晴,-99,-99,320.0,0.3,25.0,97,-99,-99
曾文,C2O810,2025-07-01T04:00:00+08:00,晴,-99,-99,360.0,0.6,24.9,97,-99,-99
曾文,C2O810,2025-07-01T05:00:00+08:00,晴,-99,-99,30.0,0.3,24.6,97,-99,-99
曾文,C2O810,2025-07-01T06:00:00+08:00,晴,-99,-99,360.0,0.6,24.7,96,-99,-99
曾文,C2O810,2025-07-01T07:00:00+08:00,晴,-99,-99,160.0,0.5,27.4,84,-99,-99
曾文,C2O810,2025-07-01T08:00:00+08:00,晴,-99,-99,240.0,0.3,30.3,74,-99,-99
曾文,C2O810,2025-07-01T09:00:00+08:00,晴,-99,-99,180.0,0.9,32.1,68,-99,-99
曾文,C2O810,2025-07-01T10:00:00+08:00,晴,-99,-99,330.0,0.5,33.1,66,-99,-99
曾文,C2O810,2025-07-01T11:00:00+08:00,晴,-99,-99,340.0,0.6,33.9,61,-99,-99
曾文,C2O810,2025-07-01T12:00:00+08:00,多雲,-99,-99,270.0,0.5,33.9,58,-99,-99
曾文,C2O810,2025-07-01T13:00:00+08:00,晴,-99,-99,270.0,0.6,34.7,58,-99,-99
曾文,C2O810,2025-07-01T14:00:00+08:00,多雲,-99,-99,330.0,0.8,34.9,58,-99,-99
曾文,C2O810,2025-07-01T15:00:00+08:00,陰,-99,-99,280.0,0.6,33.3,62,-99,-99
