StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
下營,C2X060,2026-03-01T23:00:00+08:00,多雲,-99,-99,130.0,1.3,24.3,82,-99,-99
下營,C2X060,2026-03-02T00:00:00+08:00,多雲,-99,-99,140.0,2.0,24.3,81,-99,-99
下營,C2X060,2026-03-02T01:00:00+08:00,多雲,-99,-99,140.0,1.8,24.5,81,-99,-99
下營,C2X060,2026-03-02T02:00:00+08:00,多雲,-99,-99,220.0,0.4,23.9,85,-99,-99
下營,C2X060,2026-03-02T03:00:00+08:00,多雲,-99,-99,120.0,0.5,23.7,87,-99,-99
下營,C2X060,2026-03-02T04:00:00+08:00,多雲,-99,-99,10.0,1.8,22.6,95,-99,-99
下營,C2X060,2026-03-02T05:00:00+08:00,晴,-99,-99,60.0,1.7,22.1,96,-99,-99
下營,C2X060,2026-03-02T06:00:00+08:00,晴,-99,-99,60.0,1.7,22.1,95,-99,-99
下營,C2X060,2026-03-02T07:00:00+08:00,多雲,-99,-99,240.0,0.4,22.3,96,-99,-99
下營,C2X060,2026-03-02T08:00:00+08:00,晴,-99,-99,40.0,1.3,23.9,89,-99,-99
下營,C2X060,2026-03-02T09:00:00+08:00,晴,-99,-99,60.0,1.3,26.7,76,-99,-99
下營,C2X060,2026-03-02T10:00:00+08:00,晴,-99,-99,170.0,1.6,28.8,67,-99,-99
下營,C2X060,2026-03-02T11:00:00+08:00,晴,-99,-99,290.0,1.6,29.9,63,-99,-99
下營,C2X060,2026-03-02T12:00:00+08:00,陰,-99,-99,270.0,2.3,29.9,62,-99,-99
下營,C2X060,2026-03-02T13:00:00+08:00,多雲,-99,-99,290.0,3.0,31.3,54,-99,-99
下營,C2X060,2026-03-02T14:00:00+08:00,多雲,-99,-99,300.0,2.8,32.3,51,-99,-99
下營,C2X060,2026-03-02T15:00:00+08:00,晴,-99,-99,300.0,3.6,30.2,61,-99,-99
