StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
國一N323K,CAN040,2025-06-15T22:00:00+08:00,多雲,-99,-99,150.0,1.2,29.3,76,-99,-99
國一N323K,CAN040,2025-06-15T23:00:00+08:00,多雲,-99,-99,150.0,1.5,28.7,79,-99,-99
國一N323K,CAN040,2025-06-16T00:00:00+08:00,多雲,-99,-99,140.0,2.4,28.0,82,-99,-99
國一N323K,CAN040,2025-06-16T01:00:00+08:00,陰,-99,-99,140.0,1.6,27.7,81,-99,-99
國一N323K,CAN040,2025-06-16T02:00:00+08:00,陰,-99,-99,150.0,1.8,27.2,86,-99,-99
國一N323K,CAN040,2025-06-16T03:00:00+08:00,陰,-99,-99,160.0,1.3,27.1,85,-99,-99
國一N323K,CAN040,2025-06-16T04:00:00+08:00,陰,-99,-99,160.0,1.3,27.3,83,-99,-99
國一N323K,CAN040,2025-06-16T05:00:00+08:00,陰,-99,-99,170.0,1.1,27.3,83,-99,-99
國一N323K,CAN040,2025-06-16T06:00:00+08:00,陰,-99,-99,160.0,1.3,27.2,83,-99,-99
國一N323K,CAN040,2025-06-16T07:00:00+08:00,陰,-99,-99,160.0,1.5,28.0,84,-99,-99
國一N323K,CAN040,2025-06-16T08:00:00+08:00,陰,-99,-99,140.0,2.4,29.8,82,-99,-99
國一N323K,CAN040,2025-06-16T09:00:00+08:00,陰,-99,-99,150.0,2.2,31.3,80,-99,-99
國一N323K,CAN040,2025-06-16T10:00:00+08:00,陰有雷,-99,-99,170.0,0.6,27.3,-99,-99,-99
國一N323K,CAN040,2025-06-16T11:00:00+08:00,陰有雨,-99,-99,60.0,1.3,27.3,96,-99,-99
國一N323K,CAN040,2025-06-16T12:00:00+08:00,陰,-99,-99,160.0,1.6,28.8,93,-99,-99
國一N323K,CAN040,2025-06-16T13:00:00+08:00,陰,-99,-99,200.0,1.3,31.6,81,-99,-99
國一N323K,CAN040,2025-06-16T14:00:00+08:00,陰,-99,-99,240.0,1.5,31.5,80,-99,-99
國一N323K,CAN040,2025-06-16T15:00:00+08:00,陰,-99,-99,270.0,3.4,31.1,78,-99,-99
國一N323K,CAN040,2025-06-16T16:00:00+08:00,陰,-99,-99,210.0,1.3,27.8,90,-99,-99
國一N323K,CAN040,2025-06-16T17:00:00+08:00,陰,-99,-99,220.0,0.8,28.3,90,-99,-99
國一N323K,CAN040,2025-06-16T18:00:00+08:00,陰,-99,-99,120.0,1.7,29.0,89,-99,-99
國一N323K,CAN040,2025-06-16T19:00:00+08:00,陰,-99,-99,110.0,1.1,27.8,92,-99,-99
國一N323K,CAN040,2025-06-16T20:00:00+08:00,陰,-99,-99,70.0,1.0,27.6,91,-99,-99
國一N323K,CAN040,2025-06-16T21:00:00+08:00,陰,-99,-99,110.0,0.6,27.5,92,-99,-99
國一N323K,CAN040,2025-06-16T22:00:00+08:00,陰,-99,-99,-99,1.8,25.8,-99,-99,-99
國一N323K,CAN040,2025-06-16T23:00:00+08:00,陰,-99,-99,140.0,1.1,26.0,97,-99,-99
國一N323K,CAN040,2025-06-17T00:00:00+08:00,多雲,-99,-99,180.0,0.4,25.8,97,-99,-99
國一N323K,CAN040,2025-06-17T01:00:00+08:00,多雲,-99,-99,160.0,0.4,26.0,96,-99,-99
國一N323K,CAN040,2025-06-17T02:00:00+08:00,晴,-99,-99,110.0,0.5,26.2,96,-99,-99
國一N323K,CAN040,2025-06-17T03:00:00+08:00,多雲,-99,-99,70.0,0.5,25.8,98,-99,-99
國一N323K,CAN040,2025-06-17T04:00:00+08:00,陰,-99,-99,70.0,1.3,25.8,97,-99,-99
