StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
成功,467610,2025-03-26T23:00:00+08:00,晴,21-30,10.0,300.0,0.9,23.9,90,1002.7,0.0
成功,467610,2025-03-27T00:00:00+08:00,晴,>30,10.0,340.0,3.9,22.7,87,1002.4,0.0
成功,467610,2025-03-27T01:00:00+08:00,晴,21-30,0.0,340.0,1.3,22.2,90,1001.9,0.0
成功,467610,2025-03-27T02:00:00+08:00,晴,21-30,0.0,310.0,1.3,22.0,93,1001.5,0.0
成功,467610,2025-03-27T03:00:00+08:00,多雲,21-30,0.0,320.0,1.9,21.9,93,1001.3,0.0
成功,467610,2025-03-27T04:00:00+08:00,多雲,21-30,0.0,330.0,2.1,21.8,94,1001.4,0.0
成功,467610,2025-03-27T05:00:00+08:00,多雲,21-30,0.0,350.0,1.5,21.5,94,1001.7,0.0
成功,467610,2025-03-27T06:00:00+08:00,多雲,21-30,0.0,340.0,2.3,21.5,93,1002.0,0.0
成功,467610,2025-03-27T07:00:00+08:00,晴,21-30,0.6,220.0,1.1,24.1,87,1002.4,0.0
成功,467610,2025-03-27T08:00:00+08:00,晴,>30,1.6,250.0,2.0,26.5,77,1002.7,1.0
成功,467610,2025-03-27T09:00:00+08:00,晴,>30,2.6,200.0,1.3,27.3,77,1002.7,3.0
成功,467610,2025-03-27T10:00:00+08:00,晴,>30,3.6,200.0,2.1,28.2,73,1002.8,6.0
成功,467610,2025-03-27T11:00:00+08:00,晴,>30,4.6,200.0,5.7,28.6,72,1002.2,9.0
成功,467610,2025-03-27T12:00:00+08:00,晴,21-30,5.6,200.0,4.7,28.5,71,1000.5,11.0
成功,467610,2025-03-27T13:00:00+08:00,晴,21-30,6.6,190.0,6.2,28.7,70,999.6,11.0
成功,467610,2025-03-27T14:00:00+08:00,晴,21-30,7.6,200.0,3.6,28.4,70,998.5,-99.0
成功,467610,2025-03-27T15:00:00+08:00,晴,21-30,8.6,200.0,4.2,28.4,69,997.6,-99.0
