StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
成功,467610,2025-06-15T22:00:00+08:00,陰,21-30,10.0,220.0,3.9,28.6,76,1002.2,0
成功,467610,2025-06-15T23:00:00+08:00,陰,21-30,10.0,220.0,3.1,28.3,74,1002.2,0
成功,467610,2025-06-16T00:00:00+08:00,陰,21-30,10.0,230.0,2.5,27.9,77,1002.0,0
成功,467610,2025-06-16T01:00:00+08:00,陰,>30,0.0,270.0,1.0,26.6,79,1001.6,0
成功,467610,2025-06-16T02:00:00+08:00,多雲,>30,0.0,340.0,2.7,25.6,86,1001.2,0
成功,467610,2025-06-16T03:00:00+08:00,多雲,>30,0.0,340.0,2.2,25.3,87,1001.1,0
成功,467610,2025-06-16T04:00:00+08:00,多雲,>30,0.0,320.0,1.5,25.0,87,1001.0,0
成功,467610,2025-06-16T05:00:00+08:00,陰,>30,0.0,230.0,1.4,25.6,80,1001.0,0
成功,467610,2025-06-16T06:00:00+08:00,多雲,>30,0.0,220.0,3.4,27.1,76,1001.0,0
成功,467610,2025-06-16T07:00:00+08:00,陰,21-30,0.0,230.0,3.1,27.8,74,1001.4,1
成功,467610,2025-06-16T08:00:00+08:00,多雲,>30,0.0,260.0,1.9,29.0,70,1001.5,2
成功,467610,2025-06-16T09:00:00+08:00,多雲,>30,0.4,50.0,3.8,30.7,72,1002.1,4
成功,467610,2025-06-16T10:00:00+08:00,多雲,21-30,1.4,40.0,4.3,30.8,75,1002.3,8
成功,467610,2025-06-16T11:00:00+08:00,晴,>30,2.4,30.0,3.9,31.4,73,1002.4,11
成功,467610,2025-06-16T12:00:00+08:00,晴,>30,3.4,30.0,4.4,31.7,74,1002.1,13
成功,467610,2025-06-16T13:00:00+08:00,晴,>30,4.4,50.0,4.0,31.9,69,1001.7,13
成功,467610,2025-06-16T14:00:00+08:00,晴,>30,5.3,50.0,3.5,31.6,71,1001.4,10
成功,467610,2025-06-16T15:00:00+08:00,多雲,>30,6.2,70.0,3.1,31.4,72,1001.5,8
成功,467610,2025-06-16T16:00:00+08:00,晴,>30,7.0,80.0,2.8,30.6,74,1001.5,4
成功,467610,2025-06-16T17:00:00+08:00,晴,>30,7.9,60.0,3.2,30.5,75,1001.4,2
成功,467610,2025-06-16T18:00:00+08:00,晴,>30,8.5,30.0,1.5,28.8,81,1002.1,0
成功,467610,2025-06-16T19:00:00+08:00,晴,21-30,8.5,320.0,2.1,27.8,88,1002.7,0
成功,467610,2025-06-16T20:00:00+08:00,多雲,21-30,8.5,300.0,0.8,26.9,92,1003.7,0
成功,467610,2025-06-16T21:00:00+08:00,多雲,>30,8.5,340.0,2.1,27.1,87,1004.2,0
成功,467610,2025-06-16T22:00:00+08:00,多雲,>30,8.5,330.0,0.9,27.1,87,1005.0,0
成功,467610,2025-06-16T23:00:00+08:00,多雲,21-30,8.5,270.0,1.0,26.2,93,1005.0,0
成功,467610,2025-06-17T00:00:00+08:00,多雲,>30,8.5,330.0,2.0,26.6,89,1004.6,0
成功,467610,2025-06-17T01:00:00+08:00,晴,>30,0.0,250.0,0.7,25.9,92,1004.4,0
成功,467610,2025-06-17T02:00:00+08:00,多雲,>30,0.0,320.0,1.9,26.6,87,1004.2,0
成功,467610,2025-06-17T03:00:00+08:00,晴,>30,0.0,360.0,1.1,26.3,89,1004.4,0
成功,467610,2025-06-17T04:00:00+08:00,晴,>30,0.0,340.0,1.8,26.0,90,1004.6,0
成功,467610,2025-06-17T05:00:00+08:00,多雲,>30,0.0,310.0,2.2,26.9,85,1005.0,0
成功,467610,2025-06-17T06:00:00+08:00,陰,>30,0.5,310.0,0.7,27.8,85,1005.5,0
成功,467610,2025-06-17T07:00:00+08:00,多雲,21-30,1.1,240.0,0.5,28.9,82,1006.0,0
成功,467610,2025-06-17T08:00:00+08:00,晴,21-30,2.1,220.0,0.9,29.8,79,1006.0,2
成功,467610,2025-06-17T09:00:00+08:00,晴,>30,3.1,210.0,1.0,30.8,76,1006.3,5
成功,467610,2025-06-17T10:00:00+08:00,陰,>30,4.1,220.0,1.9,31.5,80,1006.5,8
成功,467610,2025-06-17T11:00:00+08:00,陰,>30,5.1,220.0,1.3,30.1,83,1006.6,11
成功,467610,2025-06-17T12:00:00+08:00,陰,16-20,6.1,200.0,1.1,30.7,83,1006.0,13
成功,467610,2025-06-17T13:00:00+08:00,陰,>30,6.5,210.0,0.8,29.9,86,1005.7,10
成功,467610,2025-06-17T14:00:00+08:00,陰有雷,>30,6.6,40.0,3.3,30.1,80,1006.4,5
成功,467610,2025-06-17T15:00:00+08:00,陰,>30,6.6,30.0,3.6,30.3,70,1005.9,3
成功,467610,2025-06-17T16:00:00+08:00,陰,>30,6.9,20.0,2.6,30.5,69,1005.4,3
成功,467610,2025-06-17T17:00:00+08:00,陰,>30,7.6,30.0,3.7,29.2,73,1005.8,2
成功,467610,2025-06-17T18:00:00+08:00,陰,>30,8.0,40.0,2.4,29.4,77,1006.7,0
成功,467610,2025-06-17T19:00:00+08:00,陰,>30,8.0,30.0,2.1,28.2,83,1007.5,0
成功,467610,2025-06-17T20:00:00+08:00,陰,>30,8.0,40.0,3.1,28.2,82,1007.8,0
