StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
北份子寮,C2S9A0,2026-03-01T23:00:00+08:00,晴,-99,-99,340.0,1.2,20.9,94,-99,-99
北份子寮,C2S9A0,2026-03-02T00:00:00+08:00,晴,-99,-99,350.0,1.5,21.3,91,-99,-99
北份子寮,C2S9A0,2026-03-02T01:00:00+08:00,晴,-99,-99,360.0,2.3,21.4,88,-99,-99
北份子寮,C2S9A0,2026-03-02T02:00:00+08:00,晴,-99,-99,340.0,1.7,20.5,92,-99,-99
北份子寮,C2S9A0,2026-03-02T03:00:00+08:00,晴,-99,-99,350.0,2.2,21.1,89,-99,-99
北份子寮,C2S9A0,2026-03-02T04:00:00+08:00,晴,-99,-99,350.0,2.1,21.1,87,-99,-99
北份子寮,C2S9A0,2026-03-02T05:00:00+08:00,晴,-99,-99,350.0,2.5,21.1,87,-99,-99
北份子寮,C2S9A0,2026-03-02T06:00:00+08:00,晴,-99,-99,360.0,3.8,21.8,84,-99,-99
北份子寮,C2S9A0,2026-03-02T07:00:00+08:00,晴,-99,-99,20.0,2.3,22.5,80,-99,-99
北份子寮,C2S9A0,2026-03-02T08:00:00+08:00,晴,-99,-99,10.0,3.2,24.1,73,-99,-99
北份子寮,C2S9A0,2026-03-02T09:00:00+08:00,晴,-99,-99,30.0,2.6,26.1,66,-99,-99
北份子寮,C2S9A0,2026-03-02T10:00:00+08:00,晴,-99,-99,20.0,3.2,28.2,62,-99,-99
北份子寮,C2S9A0,2026-03-02T11:00:00+08:00,晴,-99,-99,40.0,2.1,29.2,61,-99,-99
北份子寮,C2S9A0,2026-03-02T12:00:00+08:00,晴,-99,-99,130.0,3.0,29.8,65,-99,-99
北份子寮,C2S9A0,2026-03-02T13:00:00+08:00,晴,-99,-99,130.0,3.0,29.4,66,-99,-99
北份子寮,C2S9A0,2026-03-02T14:00:00+08:00,晴,-99,-99,130.0,3.1,28.8,67,-99,-99
北份子寮,C2S9A0,2026-03-02T15:00:00+08:00,晴,-99,-99,120.0,3.2,27.4,74,-99,-99
