StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
利吉,C2S9B0,2026-03-01T23:00:00+08:00,晴,-99,-99,350.0,0.7,21.4,93,-99,-99
利吉,C2S9B0,2026-03-02T00:00:00+08:00,晴,-99,-99,230.0,1.2,22.2,91,-99,-99
利吉,C2S9B0,2026-03-02T01:00:00+08:00,晴,-99,-99,10.0,1.6,22.8,89,-99,-99
利吉,C2S9B0,2026-03-02T02:00:00+08:00,晴,-99,-99,220.0,0.8,21.1,95,-99,-99
利吉,C2S9B0,2026-03-02T03:00:00+08:00,晴,-99,-99,350.0,1.1,20.6,96,-99,-99
利吉,C2S9B0,2026-03-02T04:00:00+08:00,晴,-99,-99,350.0,1.8,20.3,94,-99,-99
利吉,C2S9B0,2026-03-02T05:00:00+08:00,晴,-99,-99,340.0,1.2,20.1,94,-99,-99
利吉,C2S9B0,2026-03-02T06:00:00+08:00,晴,-99,-99,330.0,1.5,20.6,93,-99,-99
利吉,C2S9B0,2026-03-02T07:00:00+08:00,晴,-99,-99,20.0,1.2,20.5,94,-99,-99
利吉,C2S9B0,2026-03-02T08:00:00+08:00,晴,-99,-99,360.0,1.4,22.4,85,-99,-99
利吉,C2S9B0,2026-03-02T09:00:00+08:00,晴,-99,-99,340.0,2.6,24.1,79,-99,-99
利吉,C2S9B0,2026-03-02T10:00:00+08:00,晴,-99,-99,340.0,2.1,26.4,72,-99,-99
利吉,C2S9B0,2026-03-02T11:00:00+08:00,晴,-99,-99,360.0,1.5,28.5,63,-99,-99
利吉,C2S9B0,2026-03-02T12:00:00+08:00,晴,-99,-99,150.0,1.0,30.7,64,-99,-99
利吉,C2S9B0,2026-03-02T13:00:00+08:00,晴,-99,-99,110.0,2.4,31.3,61,-99,-99
利吉,C2S9B0,2026-03-02T14:00:00+08:00,晴,-99,-99,110.0,2.8,31.1,62,-99,-99
利吉,C2S9B0,2026-03-02T15:00:00+08:00,晴,-99,-99,110.0,2.1,30.3,64,-99,-99
