StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
再來山,C2SD80,2026-03-01T23:00:00+08:00,晴,-99,-99,240.0,1.2,21.2,94,-99,-99
再來山,C2SD80,2026-03-02T00:00:00+08:00,晴,-99,-99,270.0,1.1,21.0,95,-99,-99
再來山,C2SD80,2026-03-02T01:00:00+08:00,晴,-99,-99,290.0,1.3,20.6,94,-99,-99
再來山,C2SD80,2026-03-02T02:00:00+08:00,晴,-99,-99,280.0,1.8,20.7,94,-99,-99
再來山,C2SD80,2026-03-02T03:00:00+08:00,多雲,-99,-99,280.0,1.9,20.2,94,-99,-99
再來山,C2SD80,2026-03-02T04:00:00+08:00,晴,-99,-99,280.0,1.9,20.4,93,-99,-99
再來山,C2SD80,2026-03-02T05:00:00+08:00,晴,-99,-99,300.0,1.5,20.9,93,-99,-99
再來山,C2SD80,2026-03-02T06:00:00+08:00,晴,-99,-99,280.0,1.7,20.6,93,-99,-99
再來山,C2SD80,2026-03-02T07:00:00+08:00,多雲,-99,-99,300.0,1.1,21.7,93,-99,-99
再來山,C2SD80,2026-03-02T08:00:00+08:00,多雲,-99,-99,290.0,0.5,23.5,92,-99,-99
再來山,C2SD80,2026-03-02T09:00:00+08:00,多雲,-99,-99,190.0,0.3,24.8,84,-99,-99
再來山,C2SD80,2026-03-02T10:00:00+08:00,多雲,-99,-99,100.0,1.1,26.5,75,-99,-99
再來山,C2SD80,2026-03-02T11:00:00+08:00,晴,-99,-99,90.0,1.5,27.8,70,-99,-99
再來山,C2SD80,2026-03-02T12:00:00+08:00,晴,-99,-99,80.0,1.6,28.2,66,-99,-99
再來山,C2SD80,2026-03-02T13:00:00+08:00,多雲,-99,-99,90.0,1.7,27.0,73,-99,-99
再來山,C2SD80,2026-03-02T14:00:00+08:00,多雲,-99,-99,80.0,1.9,27.7,74,-99,-99
再來山,C2SD80,2026-03-02T15:00:00+08:00,多雲,-99,-99,80.0,1.3,27.3,75,-99,-99
