StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
花蓮,466990,2025-03-26T23:00:00+08:00,多雲,>30,11.0,320.0,1.8,24.2,76,1004.9,0.0
花蓮,466990,2025-03-27T00:00:00+08:00,多雲,>30,11.0,340.0,2.4,24.2,79,1004.3,0.0
花蓮,466990,2025-03-27T01:00:00+08:00,多雲,>30,0.0,300.0,2.5,23.5,82,1003.9,0.0
花蓮,466990,2025-03-27T02:00:00+08:00,多雲,>30,0.0,240.0,4.4,22.4,82,1004.1,0.0
花蓮,466990,2025-03-27T03:00:00+08:00,多雲,>30,0.0,270.0,1.5,22.0,76,1003.7,0.0
花蓮,466990,2025-03-27T04:00:00+08:00,晴,>30,0.0,310.0,1.3,21.6,71,1003.4,0.0
花蓮,466990,2025-03-27T05:00:00+08:00,晴,>30,0.0,240.0,4.1,21.5,70,1003.9,0.0
花蓮,466990,2025-03-27T06:00:00+08:00,多雲,>30,0.0,240.0,5.3,21.3,80,1004.5,0.0
花蓮,466990,2025-03-27T07:00:00+08:00,晴,>30,0.7,240.0,3.6,22.1,76,1004.8,0.0
花蓮,466990,2025-03-27T08:00:00+08:00,晴,>30,1.7,240.0,3.7,24.7,66,1005.3,1.0
花蓮,466990,2025-03-27T09:00:00+08:00,晴,>30,2.7,220.0,2.1,26.6,62,1005.3,3.0
花蓮,466990,2025-03-27T10:00:00+08:00,晴,>30,3.7,150.0,1.8,27.6,68,1005.3,6.0
花蓮,466990,2025-03-27T11:00:00+08:00,晴,>30,4.7,130.0,2.6,28.0,72,1004.6,9.0
花蓮,466990,2025-03-27T12:00:00+08:00,晴,>30,5.7,160.0,4.6,28.1,72,1003.9,10.0
花蓮,466990,2025-03-27T13:00:00+08:00,晴,>30,6.7,160.0,4.3,28.2,70,1002.8,10.0
花蓮,466990,2025-03-27T14:00:00+08:00,晴,>30,7.7,170.0,4.0,29.1,71,1001.8,9.0
花蓮,466990,2025-03-27T15:00:00+08:00,晴,21-30,8.7,170.0,4.9,29.0,73,1001.1,6.0
