StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
長橋,C2TB90,2026-03-01T23:00:00+08:00,晴,-99,-99,160.0,0.6,20.7,97,-99,-99
長橋,C2TB90,2026-03-02T00:00:00+08:00,晴,-99,-99,210.0,0.6,19.8,98,-99,-99
長橋,C2TB90,2026-03-02T01:00:00+08:00,多雲,-99,-99,180.0,0.5,19.5,98,-99,-99
長橋,C2TB90,2026-03-02T02:00:00+08:00,多雲,-99,-99,340.0,0.2,19.7,98,-99,-99
長橋,C2TB90,2026-03-02T03:00:00+08:00,晴,-99,-99,210.0,0.5,18.1,98,-99,-99
長橋,C2TB90,2026-03-02T04:00:00+08:00,晴,-99,-99,10.0,0.4,18.3,99,-99,-99
長橋,C2TB90,2026-03-02T05:00:00+08:00,晴,-99,-99,60.0,0.7,18.4,99,-99,-99
長橋,C2TB90,2026-03-02T06:00:00+08:00,晴,-99,-99,120.0,0.4,18.6,99,-99,-99
長橋,C2TB90,2026-03-02T07:00:00+08:00,陰,-99,-99,260.0,0.5,19.3,99,-99,-99
長橋,C2TB90,2026-03-02T08:00:00+08:00,多雲,-99,-99,220.0,0.8,20.2,99,-99,-99
長橋,C2TB90,2026-03-02T09:00:00+08:00,多雲,-99,-99,270.0,0.9,22.5,90,-99,-99
長橋,C2TB90,2026-03-02T10:00:00+08:00,多雲,-99,-99,350.0,0.9,26.3,70,-99,-99
長橋,C2TB90,2026-03-02T11:00:00+08:00,多雲,-99,-99,130.0,1.0,27.9,66,-99,-99
長橋,C2TB90,2026-03-02T12:00:00+08:00,多雲,-99,-99,80.0,1.7,27.9,73,-99,-99
長橋,C2TB90,2026-03-02T13:00:00+08:00,陰,-99,-99,90.0,1.4,27.7,71,-99,-99
長橋,C2TB90,2026-03-02T14:00:00+08:00,陰,-99,-99,80.0,1.8,26.9,79,-99,-99
長橋,C2TB90,2026-03-02T15:00:00+08:00,陰,-99,-99,80.0,1.9,26.5,79,-99,-99
