StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
馬祖,467990,2025-06-15T22:00:00+08:00,陰,21-30,8.5,200.0,11.3,26.4,94,993.8,0
馬祖,467990,2025-06-15T23:00:00+08:00,陰,21-30,8.5,200.0,11.2,26.7,90,993.2,0
馬祖,467990,2025-06-16T00:00:00+08:00,陰,21-30,8.5,210.0,10.6,26.8,90,993.6,0
馬祖,467990,2025-06-16T01:00:00+08:00,陰,11-15,0.0,210.0,10.7,26.5,93,993.3,0
馬祖,467990,2025-06-16T02:00:00+08:00,陰有靄,3-6,0.0,220.0,10.0,26.0,96,993.5,0
馬祖,467990,2025-06-16T03:00:00+08:00,陰,16-20,0.0,210.0,10.5,26.3,94,993.4,0
馬祖,467990,2025-06-16T04:00:00+08:00,陰,7-10,0.0,220.0,8.6,26.1,97,994.0,0
馬祖,467990,2025-06-16T05:00:00+08:00,陰有雷,11-15,0.0,220.0,7.8,26.0,97,994.7,0
馬祖,467990,2025-06-16T06:00:00+08:00,陰有靄,7-10,0.0,230.0,4.6,25.9,97,995.3,0
馬祖,467990,2025-06-16T07:00:00+08:00,陰有靄,7-10,0.0,220.0,3.1,25.9,99,996.1,0
馬祖,467990,2025-06-16T08:00:00+08:00,陰,11-15,0.0,240.0,3.4,26.2,98,996.3,1
馬祖,467990,2025-06-16T09:00:00+08:00,陰,>30,0.2,220.0,2.0,26.9,94,996.9,3
馬祖,467990,2025-06-16T10:00:00+08:00,陰,21-30,0.6,230.0,2.8,28.5,87,997.4,6
馬祖,467990,2025-06-16T11:00:00+08:00,多雲,21-30,0.8,210.0,1.5,29.0,88,997.4,7
馬祖,467990,2025-06-16T12:00:00+08:00,陰,16-20,0.9,220.0,2.9,28.7,87,997.0,8
馬祖,467990,2025-06-16T13:00:00+08:00,陰,21-30,1.6,220.0,4.5,29.0,86,996.3,11
馬祖,467990,2025-06-16T14:00:00+08:00,多雲,16-20,2.3,220.0,4.5,30.1,81,995.9,9
馬祖,467990,2025-06-16T15:00:00+08:00,陰,21-30,2.9,220.0,4.3,28.6,87,995.7,7
