StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
雲林臺大,A2K630,2025-07-01T00:00:00+08:00,晴,-99,-99,220.0,0.7,27.3,91,-99,-99
雲林臺大,A2K630,2025-07-01T01:00:00+08:00,晴,-99,-99,0.0,0.0,26.6,95,-99,-99
雲林臺大,A2K630,2025-07-01T02:00:00+08:00,晴,-99,-99,160.0,0.3,26.1,97,-99,-99
雲林臺大,A2K630,2025-07-01T03:00:00+08:00,晴,-99,-99,150.0,1.1,26.7,93,-99,-99
雲林臺大,A2K630,2025-07-01T04:00:00+08:00,晴,-99,-99,0.0,0.0,26.0,95,-99,-99
雲林臺大,A2K630,2025-07-01T05:00:00+08:00,晴,-99,-99,0.0,0.0,25.4,97,-99,-99
雲林臺大,A2K630,2025-07-01T06:00:00+08:00,晴,-99,-99,0.0,0.0,27.0,93,-99,-99
雲林臺大,A2K630,2025-07-01T07:00:00+08:00,晴,-99,-99,80.0,0.7,29.4,81,-99,-99
雲林臺大,A2K630,2025-07-01T08:00:00+08:00,晴,-99,-99,130.0,0.5,31.3,73,-99,-99
雲林臺大,A2K630,2025-07-01T09:00:00+08:00,晴,-99,-99,200.0,0.7,33.0,66,-99,-99
雲林臺大,A2K630,2025-07-01T10:00:00+08:00,晴,-99,-99,280.0,1.4,32.0,68,-99,-99
雲林臺大,A2K630,2025-07-01T11:00:00+08:00,晴,-99,-99,300.0,2.0,34.4,59,-99,-99
雲林臺大,A2K630,2025-07-01T12:00:00+08:00,晴,-99,-99,330.0,0.8,34.9,60,-99,-99
雲林臺大,A2K630,2025-07-01T13:00:00+08:00,多雲,-99,-99,310.0,2.2,34.2,64,-99,-99
雲林臺大,A2K630,2025-07-01T14:00:00+08:00,多雲,-99,-99,310.0,2.8,34.0,63,-99,-99
雲林臺大,A2K630,2025-07-01T15:00:00+08:00,多雲,-99,-99,310.0,2.7,34.1,60,-99,-99
雲林臺大,A2K630,2025-07-01T16:00:00+08:00,多雲,-99,-99,320.0,2.7,33.0,66,-99,-99
雲林臺大,A2K630,2025-07-01T17:00:00+08:00,有雷,-99,-99,320.0,1.9,30.2,77,-99,-99
雲林臺大,A2K630,2025-07-01T18:00:00+08:00,陰,-99,-99,310.0,0.7,29.3,84,-99,-99
雲林臺大,A2K630,2025-07-01T19:00:00+08:00,陰,-99,-99,180.0,1.0,28.3,83,-99,-99
雲林臺大,A2K630,2025-07-01T20:00:00+08:00,多雲,-99,-99,210.0,1.2,27.8,82,-99,-99
雲林臺大,A2K630,2025-07-01T21:00:00+08:00,晴,-99,-99,190.0,1.1,26.9,84,-99,-99
雲林臺大,A2K630,2025-07-01T22:00:00+08:00,晴,-99,-99,250.0,0.7,26.5,88,-99,-99
雲林臺大,A2K630,2025-07-01T23:00:00+08:00,晴,-99,-99,190.0,0.5,26.2,91,-99,-99
雲林臺大,A2K630,2025-07-02T00:00:00+08:00,晴,-99,-99,0.0,0.0,25.9,92,-99,-99
雲林臺大,A2K630,2025-07-02T01:00:00+08:00,多雲,-99,-99,60.0,0.7,26.5,89,-99,-99
雲林臺大,A2K630,2025-07-02T02:00:00+08:00,陰,-99,-99,110.0,0.6,26.5,91,-99,-99
雲林臺大,A2K630,2025-07-02T03:00:00+08:00,多雲,-99,-99,110.0,1.1,26.7,90,-99,-99
雲林臺大,A2K630,2025-07-02T04:00:00+08:00,多雲,-99,-99,90.0,0.3,25.7,94,-99,-99
雲林臺大,A2K630,2025-07-02T05:00:00+08:00,晴,-99,-99,0.0,0.0,25.4,96,-99,-99
雲林臺大,A2K630,2025-07-02T06:00:00+08:00,晴,-99,-99,90.0,0.9,26.9,90,-99,-99
雲林臺大,A2K630,2025-07-02T07:00:00+08:00,晴,-99,-99,0.0,0.0,29.9,77,-99,-99
雲林臺大,A2K630,2025-07-02T08:00:00+08:00,晴,-99,-99,110.0,0.8,31.1,72,-99,-99
雲林臺大,A2K630,2025-07-02T09:00:00+08:00,晴,-99,-99,150.0,1.5,31.1,72,-99,-99
雲林臺大,A2K630,2025-07-02T10:00:00+08:00,晴,-99,-99,180.0,0.9,31.7,69,-99,-99
雲林臺大,A2K630,2025-07-02T11:00:00+08:00,晴,-99,-99,310.0,1.2,33.9,62,-99,-99
雲林臺大,A2K630,2025-07-02T12:00:00+08:00,多雲,-99,-99,10.0,1.0,36.1,52,-99,-99
雲林臺大,A2K630,2025-07-02T13:00:00+08:00,多雲,-99,-99,310.0,2.9,34.9,62,-99,-99
雲林臺大,A2K630,2025-07-02T14:00:00+08:00,多雲,-99,-99,320.0,3.3,33.1,67,-99,-99
雲林臺大,A2K630,2025-07-02T15:00:00+08:00,多雲,-99,-99,310.0,3.7,33.2,67,-99,-99
雲林臺大,A2K630,2025-07-02T16:00:00+08:00,多雲,-99,-99,310.0,2.4,31.7,68,-99,-99
雲林臺大,A2K630,2025-07-02T17:00:00+08:00,陰,-99,-99,290.0,2.2,31.9,70,-99,-99
雲林臺大,A2K630,2025-07-02T18:00:00+08:00,陰,-99,-99,180.0,2.0,29.7,72,-99,-99
雲林臺大,A2K630,2025-07-02T19:00:00+08:00,多雲,-99,-99,190.0,1.1,29.1,77,-99,-99
雲林臺大,A2K630,2025-07-02T20:00:00+08:00,多雲,-99,-99,190.0,1.1,28.5,83,-99,-99
雲林臺大,A2K630,2025-07-02T21:00:00+08:00,晴,-99,-99,180.0,1.2,28.5,78,-99,-99
雲林臺大,A2K630,2025-07-02T22:00:00+08:00,-99,-99,-99,190.0,1.0,28.0,81,-99,-99
雲林臺大,A2K630,2025-07-02T23:00:00+08:00,多雲,-99,-99,180.0,1.2,28.3,83,-99,-99
雲林臺大,A2K630,2025-07-03T00:00:00+08:00,晴,-99,-99,200.0,1.6,28.1,85,-99,-99
雲林臺大,A2K630,2025-07-03T01:00:00+08:00,晴,-99,-99,200.0,1.4,28.1,85,-99,-99
雲林臺大,A2K630,2025-07-03T02:00:00+08:00,晴,-99,-99,210.0,1.6,27.9,87,-99,-99
雲林臺大,A2K630,2025-07-03T03:00:00+08:00,-99,-99,-99,210.0,2.1,28.0,87,-99,-99
雲林臺大,A2K630,2025-07-03T04:00:00+08:00,-99,-99,-99,200.0,1.2,27.7,88,-99,-99
雲林臺大,A2K630,2025-07-03T05:00:00+08:00,-99,-99,-99,180.0,1.1,27.4,89,-99,-99
雲林臺大,A2K630,2025-07-03T06:00:00+08:00,-99,-99,-99,110.0,1.3,27.2,89,-99,-99
雲林臺大,A2K630,2025-07-03T07:00:00+08:00,晴,-99,-99,150.0,1.4,29.0,77,-99,-99
雲林臺大,A2K630,2025-07-03T08:00:00+08:00,晴,-99,-99,200.0,1.5,30.9,71,-99,-99
雲林臺大,A2K630,2025-07-03T09:00:00+08:00,多雲,-99,-99,230.0,1.0,33.3,62,-99,-99
雲林臺大,A2K630,2025-07-03T10:00:00+08:00,多雲,-99,-99,200.0,0.7,33.0,62,-99,-99
雲林臺大,A2K630,2025-07-03T11:00:00+08:00,陰,-99,-99,170.0,1.2,34.2,57,-99,-99
雲林臺大,A2K630,2025-07-03T12:00:00+08:00,陰,-99,-99,320.0,0.9,34.3,55,-99,-99
雲林臺大,A2K630,2025-07-03T13:00:00+08:00,-99,-99,-99,300.0,2.1,34.7,65,-99,-99
雲林臺大,A2K630,2025-07-03T14:00:00+08:00,陰,-99,-99,330.0,2.9,33.4,69,-99,-99
雲林臺大,A2K630,2025-07-03T15:00:00+08:00,-99,-99,-99,320.0,2.5,33.1,71,-99,-99
