StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
大庄合作社,V2K610,2025-07-01T00:00:00+08:00,晴,-99,-99,240.0,0.3,28.4,87,-99,-99
大庄合作社,V2K610,2025-07-01T01:00:00+08:00,晴,-99,-99,0.0,0.0,28.2,88,-99,-99
大庄合作社,V2K610,2025-07-01T02:00:00+08:00,晴,-99,-99,100.0,0.4,27.9,89,-99,-99
大庄合作社,V2K610,2025-07-01T03:00:00+08:00,晴,-99,-99,160.0,0.5,27.7,90,-99,-99
大庄合作社,V2K610,2025-07-01T04:00:00+08:00,晴,-99,-99,210.0,0.4,27.3,90,-99,-99
大庄合作社,V2K610,2025-07-01T05:00:00+08:00,晴,-99,-99,170.0,0.3,26.7,90,-99,-99
大庄合作社,V2K610,2025-07-01T06:00:00+08:00,晴,-99,-99,220.0,0.3,27.4,90,-99,-99
大庄合作社,V2K610,2025-07-01T07:00:00+08:00,晴,-99,-99,150.0,0.6,29.4,86,-99,-99
大庄合作社,V2K610,2025-07-01T08:00:00+08:00,晴,-99,-99,180.0,0.8,30.6,79,-99,-99
大庄合作社,V2K610,2025-07-01T09:00:00+08:00,晴,-99,-99,250.0,2.2,31.2,71,-99,-99
大庄合作社,V2K610,2025-07-01T10:00:00+08:00,晴,-99,-99,290.0,2.7,32.3,70,-99,-99
大庄合作社,V2K610,2025-07-01T11:00:00+08:00,晴,-99,-99,320.0,2.1,33.3,65,-99,-99
大庄合作社,V2K610,2025-07-01T12:00:00+08:00,晴,-99,-99,310.0,3.7,33.3,65,-99,-99
大庄合作社,V2K610,2025-07-01T13:00:00+08:00,多雲,-99,-99,320.0,3.8,33.8,62,-99,-99
大庄合作社,V2K610,2025-07-01T14:00:00+08:00,晴,-99,-99,310.0,3.6,33.6,62,-99,-99
大庄合作社,V2K610,2025-07-01T15:00:00+08:00,多雲,-99,-99,320.0,3.8,33.5,66,-99,-99
