StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
美濃,C2V310,2026-03-01T23:00:00+08:00,多雲,-99,-99,80.0,1.0,24.5,82,-99,-99
美濃,C2V310,2026-03-02T00:00:00+08:00,多雲,-99,-99,80.0,0.6,24.2,83,-99,-99
美濃,C2V310,2026-03-02T01:00:00+08:00,多雲,-99,-99,80.0,0.8,24.2,84,-99,-99
美濃,C2V310,2026-03-02T02:00:00+08:00,晴,-99,-99,40.0,0.5,24.2,86,-99,-99
美濃,C2V310,2026-03-02T03:00:00+08:00,多雲,-99,-99,330.0,0.2,23.6,88,-99,-99
美濃,C2V310,2026-03-02T04:00:00+08:00,多雲,-99,-99,350.0,0.2,23.5,88,-99,-99
美濃,C2V310,2026-03-02T05:00:00+08:00,多雲,-99,-99,340.0,0.3,23.6,88,-99,-99
美濃,C2V310,2026-03-02T06:00:00+08:00,多雲,-99,-99,40.0,1.2,23.0,92,-99,-99
美濃,C2V310,2026-03-02T07:00:00+08:00,多雲,-99,-99,290.0,0.7,22.8,97,-99,-99
美濃,C2V310,2026-03-02T08:00:00+08:00,晴,-99,-99,320.0,0.3,25.1,87,-99,-99
美濃,C2V310,2026-03-02T09:00:00+08:00,晴,-99,-99,310.0,0.5,26.4,77,-99,-99
美濃,C2V310,2026-03-02T10:00:00+08:00,晴,-99,-99,250.0,0.8,27.6,68,-99,-99
美濃,C2V310,2026-03-02T11:00:00+08:00,晴,-99,-99,220.0,1.1,29.5,64,-99,-99
美濃,C2V310,2026-03-02T12:00:00+08:00,多雲,-99,-99,270.0,1.7,30.1,61,-99,-99
美濃,C2V310,2026-03-02T13:00:00+08:00,多雲,-99,-99,260.0,2.4,30.6,60,-99,-99
美濃,C2V310,2026-03-02T14:00:00+08:00,晴,-99,-99,240.0,2.2,31.1,59,-99,-99
美濃,C2V310,2026-03-02T15:00:00+08:00,晴,-99,-99,200.0,1.8,31.7,55,-99,-99
