StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
國三S385K,CAP060,2025-08-01T00:00:00+08:00,陰有雨,3-6,-99,140.0,0.6,25.1,-99,-99,-99
國三S385K,CAP060,2025-08-01T01:00:00+08:00,陰,7-10,-99,320.0,0.5,25.3,-99,-99,-99
國三S385K,CAP060,2025-08-01T02:00:00+08:00,陰,3-6,-99,320.0,0.5,25.2,-99,-99,-99
國三S385K,CAP060,2025-08-01T03:00:00+08:00,陰,7-10,-99,320.0,0.6,25.3,-99,-99,-99
國三S385K,CAP060,2025-08-01T04:00:00+08:00,陰,3-6,-99,20.0,0.5,25.0,-99,-99,-99
國三S385K,CAP060,2025-08-01T05:00:00+08:00,陰,7-10,-99,290.0,0.6,25.3,96,-99,-99
國三S385K,CAP060,2025-08-01T06:00:00+08:00,陰有雨,3-6,-99,160.0,0.3,24.8,98,-99,-99
國三S385K,CAP060,2025-08-01T07:00:00+08:00,陰有雨,7-10,-99,350.0,0.4,25.2,98,-99,-99
國三S385K,CAP060,2025-08-01T08:00:00+08:00,陰,7-10,-99,50.0,1.2,24.6,98,-99,-99
國三S385K,CAP060,2025-08-01T09:00:00+08:00,陰有雨,<1,-99,350.0,1.1,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-01T10:00:00+08:00,陰有雷,3-6,-99,10.0,1.3,24.8,-99,-99,-99
國三S385K,CAP060,2025-08-01T11:00:00+08:00,陰有雷雨,7-10,-99,50.0,1.0,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-01T12:00:00+08:00,陰有雷,7-10,-99,340.0,1.2,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-01T13:00:00+08:00,陰有雨,3-6,-99,330.0,1.3,24.6,-99,-99,-99
國三S385K,CAP060,2025-08-01T14:00:00+08:00,陰,7-10,-99,60.0,0.5,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-01T15:00:00+08:00,陰有雨,3-6,-99,-99,-99,-99,-99,-99,-99
國三S385K,CAP060,2025-08-01T16:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S385K,CAP060,2025-08-01T17:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S385K,CAP060,2025-08-01T18:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S385K,CAP060,2025-08-01T18:50:00+08:00,陰有雨,3-6,-99,-99,-99,-99,-99,-99,-99
國三S385K,CAP060,2025-08-01T20:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S385K,CAP060,2025-08-01T20:50:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S385K,CAP060,2025-08-01T22:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S385K,CAP060,2025-08-01T23:00:00+08:00,陰,2.1,-99,340.0,0.5,24.8,-99,-99,-99
國三S385K,CAP060,2025-08-02T00:00:00+08:00,陰,3-6,-99,340.0,0.5,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-02T01:00:00+08:00,陰,7-10,-99,330.0,0.3,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-02T02:00:00+08:00,陰,7-10,-99,320.0,0.5,24.8,98,-99,-99
國三S385K,CAP060,2025-08-02T03:00:00+08:00,陰有雨,2.8,-99,290.0,0.4,24.8,-99,-99,-99
國三S385K,CAP060,2025-08-02T03:50:00+08:00,陰有雷雨,<1,-99,340.0,0.6,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-02T05:00:00+08:00,陰有雷雨,<1,-99,60.0,1.6,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-02T05:50:00+08:00,陰有雷雨,1.8,-99,280.0,1.6,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-02T06:50:00+08:00,陰有雨,3-6,-99,340.0,1.0,24.0,-99,-99,-99
國三S385K,CAP060,2025-08-02T08:00:00+08:00,陰有雨,2.2,-99,350.0,1.3,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-02T08:50:00+08:00,陰,7-10,-99,310.0,1.2,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-02T10:00:00+08:00,陰有雨,1,-99,-99,1.6,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-02T10:40:00+08:00,陰,7-10,-99,330.0,0.6,25.0,-99,-99,-99
國三S385K,CAP060,2025-08-02T12:00:00+08:00,陰,7-10,-99,20.0,1.0,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-02T12:50:00+08:00,陰有雨,3-6,-99,-99,0.6,24.6,-99,-99,-99
國三S385K,CAP060,2025-08-02T13:50:00+08:00,陰,7-10,-99,20.0,0.8,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-02T15:00:00+08:00,陰,7-10,-99,30.0,0.9,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-02T16:00:00+08:00,陰,7-10,-99,60.0,1.0,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-02T17:00:00+08:00,陰,7-10,-99,10.0,0.8,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-02T17:50:00+08:00,陰,7-10,-99,60.0,1.2,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-02T18:50:00+08:00,陰有雷,7-10,-99,130.0,0.4,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-02T19:50:00+08:00,陰有雷,7-10,-99,350.0,1.1,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-02T21:00:00+08:00,陰,7-10,-99,360.0,0.8,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-02T21:50:00+08:00,陰有雨,2.4,-99,70.0,0.6,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-02T22:40:00+08:00,陰,7-10,-99,300.0,0.4,24.2,-99,-99,-99
國三S385K,CAP060,2025-08-02T23:40:00+08:00,陰,7-10,-99,360.0,0.3,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-03T00:40:00+08:00,陰,7-10,-99,10.0,0.4,24.2,-99,-99,-99
國三S385K,CAP060,2025-08-03T01:50:00+08:00,陰有靄,3-6,-99,20.0,0.3,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-03T03:00:00+08:00,陰,3-6,-99,80.0,1.1,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-03T03:40:00+08:00,陰有雨,3-6,-99,160.0,0.5,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-03T04:40:00+08:00,陰有雨,3-6,-99,280.0,1.7,25.8,-99,-99,-99
國三S385K,CAP060,2025-08-03T05:40:00+08:00,陰有靄,7-10,-99,-99,-99,-99,-99,-99,-99
國三S385K,CAP060,2025-08-03T07:00:00+08:00,陰有雨,3-6,-99,280.0,0.5,26.5,-99,-99,-99
國三S385K,CAP060,2025-08-03T07:50:00+08:00,陰有雨,2.3,-99,270.0,1.0,25.7,-99,-99,-99
國三S385K,CAP060,2025-08-03T09:00:00+08:00,陰有雨,7-10,-99,250.0,0.5,25.8,-99,-99,-99
國三S385K,CAP060,2025-08-03T10:00:00+08:00,陰有雨,1.1,-99,290.0,2.1,25.0,-99,-99,-99
國三S385K,CAP060,2025-08-03T10:50:00+08:00,陰,3-6,-99,20.0,0.6,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-03T11:50:00+08:00,陰,7-10,-99,40.0,1.0,24.5,-99,-99,-99
國三S385K,CAP060,2025-08-03T12:40:00+08:00,陰,7-10,-99,310.0,0.6,24.3,-99,-99,-99
國三S385K,CAP060,2025-08-03T13:50:00+08:00,陰有雨,2.7,-99,70.0,0.6,24.6,-99,-99,-99
國三S385K,CAP060,2025-08-03T15:00:00+08:00,陰,7-10,-99,260.0,1.0,26.8,97,-99,-99
