StationName,StationId,DateTime,Weather,VisibilityDescription,SunshineDuration,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex
國三S378K,CAV280,2025-06-15T22:00:00+08:00,多雲,7-10,-99,130.0,1.8,28.2,78,-99,-99
國三S378K,CAV280,2025-06-15T23:00:00+08:00,多雲,7-10,-99,140.0,1.6,27.6,80,-99,-99
國三S378K,CAV280,2025-06-16T00:00:00+08:00,多雲,7-10,-99,130.0,2.4,27.3,84,-99,-99
國三S378K,CAV280,2025-06-16T01:00:00+08:00,多雲,7-10,-99,130.0,3.7,27.3,84,-99,-99
國三S378K,CAV280,2025-06-16T02:00:00+08:00,陰,7-10,-99,130.0,4.3,27.3,79,-99,-99
國三S378K,CAV280,2025-06-16T03:00:00+08:00,陰,7-10,-99,130.0,4.4,27.5,79,-99,-99
國三S378K,CAV280,2025-06-16T04:00:00+08:00,陰,7-10,-99,130.0,3.5,27.3,79,-99,-99
國三S378K,CAV280,2025-06-16T05:00:00+08:00,陰,7-10,-99,130.0,3.4,27.3,77,-99,-99
國三S378K,CAV280,2025-06-16T06:00:00+08:00,陰,7-10,-99,130.0,2.7,27.6,76,-99,-99
國三S378K,CAV280,2025-06-16T07:00:00+08:00,陰,7-10,-99,150.0,1.2,29.2,79,-99,-99
國三S378K,CAV280,2025-06-16T08:00:00+08:00,陰,7-10,-99,230.0,0.6,30.2,81,-99,-99
國三S378K,CAV280,2025-06-16T09:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S378K,CAV280,2025-06-16T10:00:00+08:00,陰有雨,3-6,-99,-99,-99,-99,-99,-99,-99
國三S378K,CAV280,2025-06-16T11:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S378K,CAV280,2025-06-16T12:00:00+08:00,多雲有靄,7-10,-99,-99,-99,-99,-99,-99,-99
國三S378K,CAV280,2025-06-16T13:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S378K,CAV280,2025-06-16T14:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
國三S378K,CAV280,2025-06-16T15:00:00+08:00,陰,7-10,-99,-99,-99,-99,-99,-99,-99
